Ward,JoinId,Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source,flag
10,G00000001,NA,SCHERMERHORN,NA,NA,NA,NA,NA,NA,1,geo,IN
7,G00000002,NA,WALWORTH,NA,NA,NA,NA,NA,NA,2,geo,IN
8,G00000033,NA,W PROSPECT,NA,NA,NA,NA,NA,NA,33,geo,IN
10,G00000037,NA,3 AVE,NA,NA,NA,NA,NA,NA,37,geo,IN
10,G00000039,NA,GARNET,NA,NA,NA,NA,NA,NA,39,geo,IN
8,G00000041,NA,SHERMAN,NA,NA,NA,NA,NA,NA,41,geo,IN
9,G00000055,NA,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,55,geo,IN
9,G00000057,NA,LEWIS AVE,NA,NA,NA,NA,NA,NA,57,geo,IN
8,G00000063,NA,7 AVE,NA,NA,NA,NA,NA,NA,63,geo,IN
6,G00000075,NA,PRESIDENT,NA,NA,NA,NA,NA,NA,75,geo,IN
8,G00000076,NA,1,NA,NA,NA,NA,NA,NA,76,geo,IN
7,G00000079,NA,HEYWARD,NA,NA,NA,NA,NA,NA,79,geo,IN
8,G00000081,NA,4 AVE,NA,NA,NA,NA,NA,NA,81,geo,IN
9,G00000088,NA,GRAND AVE,NA,NA,NA,NA,NA,NA,88,geo,IN
9,G00000102,NA,THOMAS BOYLAND,NA,NA,NA,NA,NA,NA,102,geo,IN
6,G00000107,NA,VANDYKE,NA,NA,NA,NA,NA,NA,107,geo,IN
9,G00000111,NA,BERGEN,NA,NA,NA,NA,NA,NA,111,geo,IN
10,G00000114,NA,3 AVE,NA,NA,NA,NA,NA,NA,114,geo,IN
7,G00000116,NA,RYERSON WALK,NA,NA,NA,NA,NA,NA,116,geo,IN
11,G00000119,NA,FLEET PL,NA,NA,NA,NA,NA,NA,119,geo,IN
9,G00000120,HICKORY,LEXINGTON AVE,HICKORY,NA,NA,NA,NA,NA,120,geo,IN
10,G00000121,NA,STATE,NA,NA,NA,NA,NA,NA,121,geo,IN
3,G00000130,NA,CLINTON,NA,NA,NA,NA,NA,NA,130,geo,IN
9,G00000131,NA,DECATUR,NA,NA,NA,NA,NA,NA,131,geo,IN
9,G00000132,NA,PROSPECT PL,NA,NA,NA,NA,NA,NA,132,geo,IN
8,G00000136,NA,34,NA,NA,NA,NA,NA,NA,136,geo,IN
5,G00000140,NA,EVANS,NA,NA,NA,NA,NA,NA,140,geo,IN
1,G00000147,NA,DOUGHTY,NA,NA,NA,NA,NA,NA,147,geo,IN
6,G00000156,NA,COLUMBIA,NA,NA,NA,NA,NA,NA,156,geo,IN
9,G00000161,NA,BERGEN,NA,NA,NA,NA,NA,NA,161,geo,IN
9,G00000172,NA,SAINT MARKS AVE,NA,NA,NA,NA,NA,NA,172,geo,IN
9,G00000173,NA,JEFFERSON AVE,NA,NA,NA,NA,NA,NA,173,geo,IN
8,G00000181,NA,7 AVE,NA,NA,NA,NA,NA,NA,181,geo,IN
7,G00000182,NA,MYRTLE AVE,NA,NA,NA,NA,NA,NA,182,geo,IN
9,G00000189,NA,FULTON,NA,NA,NA,NA,NA,NA,189,geo,IN
7,G00000208,NA,FULTON,NA,NA,NA,NA,NA,NA,208,geo,IN
7,G00000217,NA,KEAP,NA,NA,NA,NA,NA,NA,217,geo,IN
8,G00000228,NA,48,NA,NA,NA,NA,NA,NA,229,geo,IN
6,G00000244,NA,HENRY,NA,NA,NA,NA,NA,NA,245,geo,IN
9,G00000246,NA,PROSPECT PL,NA,NA,NA,NA,NA,NA,247,geo,IN
8,G00000250,NA,6 AVE,NA,NA,NA,NA,NA,NA,251,geo,IN
11,G00000251,NA,WILLOUGHBY,NA,NA,NA,NA,NA,NA,252,geo,IN
6,G00000254,NA,VAN BRUNT,NA,NA,NA,NA,NA,NA,255,geo,IN
6,G00000258,NA,HENRY,NA,NA,NA,NA,NA,NA,259,geo,IN
3,G00000274,NA,COLLEGE PL,NA,NA,NA,NA,NA,NA,275,geo,IN
7,G00000276,NA,MIDDLETON,NA,NA,NA,NA,NA,NA,277,geo,IN
8,G00000286,NA,8 AVE,NA,NA,NA,NA,NA,NA,287,geo,IN
9,G00000295,NA,RALPH AVE,NA,NA,NA,NA,NA,NA,296,geo,IN
9,G00000298,NA,BAINBRIDGE,NA,NA,NA,NA,NA,NA,299,geo,IN
7,G00000299,HICKORY,LEXINGTON AVE,HICKORY,NA,NA,NA,NA,NA,300,geo,IN
9,G00000302,NA,NOSTRAND AVE,NA,NA,NA,NA,NA,NA,303,geo,IN
9,G00000303,HICKORY,LEXINGTON AVE,HICKORY,NA,NA,NA,NA,NA,304,geo,IN
3,G00000315,NA,LIVINGSTON,NA,NA,NA,NA,NA,NA,316,geo,IN
8,G00000319,NA,PROSPECT AVE,NA,NA,NA,NA,NA,NA,320,geo,IN
9,G00000320,NA,HANCOCK,NA,NA,NA,NA,NA,NA,321,geo,IN
8,G00000325,NA,6,NA,NA,NA,NA,NA,NA,326,geo,IN
11,G00000333,NA,PARK AVE,NA,NA,NA,NA,NA,NA,334,geo,IN
7,G00000337,NA,HARRISON AVE,NA,NA,NA,NA,NA,NA,338,geo,IN
9,G00000339,NA,SAINT JOHNS PL,NA,NA,NA,NA,NA,NA,340,geo,IN
9,G00000347,NA,NOSTRAND AVE,NA,NA,NA,NA,NA,NA,348,geo,IN
7,G00000348,NA,THROOP AVE,NA,NA,NA,NA,NA,NA,349,geo,IN
7,G00000351,NA,KENT AVE,NA,NA,NA,NA,NA,NA,352,geo,IN
11,G00000356,NA,AUBURN PL,NA,NA,NA,NA,NA,NA,357,geo,IN
3,G00000359,NA,CT,NA,NA,NA,NA,NA,NA,360,geo,IN
10,G00000360,NA,DEAN,NA,NA,NA,NA,NA,NA,361,geo,IN
9,G00000362,NA,NOSTRAND AVE,NA,NA,NA,NA,NA,NA,363,geo,IN
9,G00000371,NA,LINCOLN PL,NA,NA,NA,NA,NA,NA,372,geo,IN
9,G00000376,NA,SARATOGA AVE,NA,NA,NA,NA,NA,NA,377,geo,IN
4,G00000383,NA,PEARL,NA,NA,NA,NA,NA,NA,384,geo,IN
2,G00000392,NA,WASHINGTON,NA,NA,NA,NA,NA,NA,393,geo,IN
9,G00000396,NA,THROOP AVE,NA,NA,NA,NA,NA,NA,397,geo,IN
2,G00000400,NA,ADAMS,NA,NA,NA,NA,NA,NA,401,geo,IN
10,G00000413,NA,PACIFIC,NA,NA,NA,NA,NA,NA,414,geo,IN
8,G00000418,NA,4 AVE,NA,NA,NA,NA,NA,NA,419,geo,IN
5,G00000425,NA,GOLD,NA,NA,NA,NA,NA,NA,426,geo,IN
10,G00000443,NA,3 AVE,NA,NA,NA,NA,NA,NA,444,geo,IN
8,G00000455,NA,9,NA,NA,NA,NA,NA,NA,456,geo,IN
7,G00000456,NA,GATES AVE,NA,NA,NA,NA,NA,NA,457,geo,IN
9,G00000464,NA,QUINCY,NA,NA,NA,NA,NA,NA,465,geo,IN
8,G00000465,NA,16,NA,NA,NA,NA,NA,NA,466,geo,IN
9,G00000470,BROOKLYN AVE,BKLYN AVE,BROOKLYN AVE,NA,NA,NA,NA,NA,471,geo,IN
6,G00000473,NA,BAY,NA,NA,NA,NA,NA,NA,474,geo,IN
7,G00000479,NA,CLYMER,NA,NA,NA,NA,NA,NA,480,geo,IN
8,G00000489,NA,8,NA,NA,NA,NA,NA,NA,490,geo,IN
9,G00000491,NA,RALPH AVE,NA,NA,NA,NA,NA,NA,492,geo,IN
2,G00000492,NA,PROSPECT,NA,NA,NA,NA,NA,NA,493,geo,IN
9,G00000503,NA,GARVEY BLVD,NA,NA,NA,NA,NA,NA,504,geo,IN
8,G00000512,NA,19,NA,NA,NA,NA,NA,NA,513,geo,IN
10,G00000514,NA,4 AVE,NA,NA,NA,NA,NA,NA,515,geo,IN
8,G00000518,NA,PROSPECT AVE,NA,NA,NA,NA,NA,NA,519,geo,IN
9,G00000521,NA,BERGEN,NA,NA,NA,NA,NA,NA,522,geo,IN
9,G00000523,NA,TOMPKINS AVE,NA,NA,NA,NA,NA,NA,524,geo,IN
7,G00000527,NA,LEE AVE,NA,NA,NA,NA,NA,NA,528,geo,IN
8,G00000532,NA,6 AVE,NA,NA,NA,NA,NA,NA,533,geo,IN
8,G00000537,NA,5 AVE,NA,NA,NA,NA,NA,NA,538,geo,IN
8,G00000545,NA,17,NA,NA,NA,NA,NA,NA,546,geo,IN
9,G00000549,NA,MARTIN LUTHER KING PL,NA,NA,NA,NA,NA,NA,550,geo,IN
8,G00000551,NA,9,NA,NA,NA,NA,NA,NA,552,geo,IN
9,G00000557,NA,LINCOLN PL,NA,NA,NA,NA,NA,NA,558,geo,IN
9,G00000573,NA,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,574,geo,IN
10,G00000579,NA,BERGEN,NA,NA,NA,NA,NA,NA,580,geo,IN
9,G00000580,NA,MONROE,NA,NA,NA,NA,NA,NA,581,geo,IN
7,G00000582,NA,THROOP AVE,NA,NA,NA,NA,NA,NA,583,geo,IN
9,G00000583,NA,FULTON,NA,NA,NA,NA,NA,NA,584,geo,IN
11,G00000595,NA,LAFAYETTE AVE,NA,NA,NA,NA,NA,NA,597,geo,IN
9,G00000597,NA,GRAND AVE,NA,NA,NA,NA,NA,NA,599,geo,IN
8,G00000600,NA,41,NA,NA,NA,NA,NA,NA,602,geo,IN
8,G00000602,NA,46,NA,NA,NA,NA,NA,NA,604,geo,IN
6,G00000613,NA,DE GRAW,NA,NA,NA,NA,NA,NA,615,geo,IN
9,G00000615,NA,SAINT MARKS AVE,NA,NA,NA,NA,NA,NA,617,geo,IN
9,G00000625,NA,PATCHEN AVE,NA,NA,NA,NA,NA,NA,628,geo,IN
8,G00000627,NA,8 AVE,NA,NA,NA,NA,NA,NA,630,geo,IN
10,G00000629,NA,SMITH,NA,NA,NA,NA,NA,NA,632,geo,IN
9,G00000632,NA,UNDERHILL AVE,NA,NA,NA,NA,NA,NA,635,geo,IN
9,G00000642,NA,SUMPTER,NA,NA,NA,NA,NA,NA,645,geo,IN
10,G00000647,NA,SMITH,NA,NA,NA,NA,NA,NA,650,geo,IN
8,G00000649,NA,5,NA,NA,NA,NA,NA,NA,652,geo,IN
9,G00000661,NA,HART,NA,NA,NA,NA,NA,NA,665,geo,IN
8,G00000662,NA,FLATBUSH AVE,NA,NA,NA,NA,NA,NA,666,geo,IN
6,G00000670,NA,VERONA,NA,NA,NA,NA,NA,NA,674,geo,IN
7,G00000671,NA,DE KALB AVE,NA,NA,NA,NA,NA,NA,675,geo,IN
8,G00000673,NA,5 AVE,NA,NA,NA,NA,NA,NA,677,geo,IN
4,G00000685,NA,JOHNSON,NA,NA,NA,NA,NA,NA,689,geo,IN
6,G00000688,NA,CONGRESS,NA,NA,NA,NA,NA,NA,692,geo,IN
9,G00000697,NA,LEWIS AVE,NA,NA,NA,NA,NA,NA,701,geo,IN
9,G00000700,NA,BAINBRIDGE,NA,NA,NA,NA,NA,NA,704,geo,IN
9,G00000703,NA,LEWIS AVE,NA,NA,NA,NA,NA,NA,707,geo,IN
9,G00000707,NA,PACIFIC,NA,NA,NA,NA,NA,NA,712,geo,IN
9,G00000711,NA,SARATOGA AVE,NA,NA,NA,NA,NA,NA,716,geo,IN
9,G00000712,NA,THROOP AVE,NA,NA,NA,NA,NA,NA,717,geo,IN
6,G00000714,NA,IMLAY,NA,NA,NA,NA,NA,NA,719,geo,IN
10,G00000716,NA,PRESIDENT,NA,NA,NA,NA,NA,NA,721,geo,IN
9,G00000717,NA,CARLTON AVE,NA,NA,NA,NA,NA,NA,722,geo,IN
6,G00000730,NA,HICKS,NA,NA,NA,NA,NA,NA,735,geo,IN
11,G00000739,NA,HANSON PL,NA,NA,NA,NA,NA,NA,744,geo,IN
7,G00000741,NA,FRANKLIN AVE,NA,NA,NA,NA,NA,NA,746,geo,IN
9,G00000751,NA,NEW YORK AVE,NA,NA,NA,NA,NA,NA,756,geo,IN
1,G00000753,NA,EVERITT,NA,NA,NA,NA,NA,NA,758,geo,IN
7,G00000757,NA,LEE AVE,NA,NA,NA,NA,NA,NA,762,geo,IN
9,G00000767,NA,DEAN,NA,NA,NA,NA,NA,NA,772,geo,IN
8,G00000773,NA,6 AVE,NA,NA,NA,NA,NA,NA,778,geo,IN
9,G00000789,NA,SAINT JOHNS PL,NA,NA,NA,NA,NA,NA,794,geo,IN
7,G00000790,NA,SKILLMAN,NA,NA,NA,NA,NA,NA,795,geo,IN
7,G00000791,NA,WALWORTH,NA,NA,NA,NA,NA,NA,796,geo,IN
8,G00000792,NA,22,NA,NA,NA,NA,NA,NA,797,geo,IN
9,G00000796,NA,DEAN,NA,NA,NA,NA,NA,NA,801,geo,IN
11,G00000805,NA,ATLANTIC AVE,NA,NA,NA,NA,NA,NA,810,geo,IN
9,G00000808,NA,HANCOCK,NA,NA,NA,NA,NA,NA,813,geo,IN
9,G00000825,NA,HOWARD AVE,NA,NA,NA,NA,NA,NA,830,geo,IN
6,G00000834,NA,RAPELYE,NA,NA,NA,NA,NA,NA,840,geo,IN
8,G00000843,NA,4 AVE,NA,NA,NA,NA,NA,NA,849,geo,IN
6,G00000846,NA,HAMILTON AVE,NA,NA,NA,NA,NA,NA,852,geo,IN
8,G00000848,NA,6 AVE,NA,NA,NA,NA,NA,NA,854,geo,IN
2,G00000860,NA,MAIN,NA,NA,NA,NA,NA,NA,866,geo,IN
9,G00000861,NA,MARCY AVE,NA,NA,NA,NA,NA,NA,867,geo,IN
11,G00000871,NA,CARLTON AVE,NA,NA,NA,NA,NA,NA,877,geo,IN
9,G00000872,NA,KINGSTON AVE,NA,NA,NA,NA,NA,NA,878,geo,IN
8,G00000880,NA,12,NA,NA,NA,NA,NA,NA,886,geo,IN
9,G00000882,NA,LINCOLN PL,NA,NA,NA,NA,NA,NA,888,geo,IN
9,G00000885,NA,BERGEN,NA,NA,NA,NA,NA,NA,891,geo,IN
10,G00000894,NA,DEAN,NA,NA,NA,NA,NA,NA,900,geo,IN
8,G00000895,NA,56,NA,NA,NA,NA,NA,NA,901,geo,IN
11,G00000901,NA,PARK AVE,NA,NA,NA,NA,NA,NA,907,geo,IN
7,G00000930,NA,SPENCER,NA,NA,NA,NA,NA,NA,936,geo,IN
8,G00000936,NA,8 AVE,NA,NA,NA,NA,NA,NA,942,geo,IN
8,G00000942,NA,8 AVE,NA,NA,NA,NA,NA,NA,948,geo,IN
10,G00000953,NA,3 AVE,NA,NA,NA,NA,NA,NA,960,geo,IN
9,G00000961,NA,KOSCIUSZKO,NA,NA,NA,NA,NA,NA,968,geo,IN
7,G00000972,NA,CLIFTON PL,NA,NA,NA,NA,NA,NA,979,geo,IN
9,G00000983,NA,UNION,NA,NA,NA,NA,NA,NA,990,geo,IN
9,G00000988,NA,TOMPKINS AVE,NA,NA,NA,NA,NA,NA,995,geo,IN
8,G00000992,NA,5 AVE,NA,NA,NA,NA,NA,NA,999,geo,IN
9,G00000995,NA,MARCY AVE,NA,NA,NA,NA,NA,NA,1002,geo,IN
8,G00000997,NA,46,NA,NA,NA,NA,NA,NA,1004,geo,IN
7,G00001001,NA,CLIFTON PL,NA,NA,NA,NA,NA,NA,1008,geo,IN
9,G00001004,NA,BERGEN,NA,NA,NA,NA,NA,NA,1012,geo,IN
6,G00001012,NA,VERONA,NA,NA,NA,NA,NA,NA,1020,geo,IN
9,G00001019,NA,BERGEN,NA,NA,NA,NA,NA,NA,1027,geo,IN
7,G00001030,NA,BEDFORD AVE,NA,NA,NA,NA,NA,NA,1038,geo,IN
