OBJECTID,BK_STREET1850_FULL_STREE,BK_STREET1850_Y1850NAMESTREET,BK_STREET1850_Y1850LEFT_LOW,BK_STREET1850_Y1850LEFT_HIGH,BK_STREET1850_Y1850RIGHT_LOW,BK_STREET1850_Y1850RIGHT_HIGH,BK_STREET1850_JOINID,BK_STREET1850_Y1850NAMEALT,Ward Left 1850,Ward Right 1850
1,SCHERMERHORN ST,,,,,,G00000001,,10,10
2,WALWORTH ST,,,,,,G00000002,,7,7
3,58 ST,,,,,,G00000003,,,
22,CONSELYEA ST,,,,,,G00000022,,,
33,PROSPECT  W,,,,,,G00000033,,8,8
34,GLENMORE AVE,,,,,,G00000034,,,
37,3 AVE,,,,,,G00000037,,10,10
39,GARNET ST,,,,,,G00000039,,10,10
41,SHERMAN ST,,,,,,G00000041,,8,8
44,OLD WOOD POINT RD,,,,,,G00000044,,,
48,GRAHAM AVE,,,,,,G00000048,,,
51,POWERS ST,,,,,,G00000051,,,
53,HICKS ST,,,,,,G00000053,,3,1
55,WASHINGTON AVE,,,,,,G00000055,,9,9
57,LEWIS AVE,,,,,,G00000057,,9,9
63,SEVENTH AVE,,,,,,G00000063,,8,8
75,PRESIDENT ST,,,,,,G00000075,,6,6
76,FIRST ST,,,,,,G00000076,,8,8
79,HEYWARD ST,,,,,,G00000079,,7,7
81,FOURTH AVE,,,,,,G00000081,,8,8
84,COURT ST,,,,,,G00000084,,10,6
88,GRAND AVE,,,,,,G00000088,,9,9
102,THOMAS BOYLAND ST,,,,,,G00000102,,9,9
107,VANDYKE ST,,,,,,G00000107,,6,6
109,NEWJERSEY AVE,,,,,,G00000109,,,
111,BERGEN ST,,,,,,G00000111,,9,9
114,3 AVE,,,,,,G00000114,,10,10
115,UNION AVE,,,,,,G00000115,,,
116,RYERSON WALK,,,,,,G00000116,,7,7
119,FLEET PL,,,,,,G00000119,,11,11
120,LEXINGTON AVE,HICKORY ST ,,,,,G00000120,,9,9
121,STATE ST,,,,,,G00000121,,10,10
130,CLINTON ST,,,,,,G00000130,,3,3
131,DECATUR ST,,,,,,G00000131,,9,9
132,PROSPECT PL,,,,,,G00000132,,9,9
136,34 ST,,,,,,G00000136,,8,8
140,EVANS ST,,,,,,G00000140,,5,5
147,DOUGHTY ST,,,,,,G00000147,,1,1
152,FROST ST,,,,,,G00000152,,,
156,COLUMBIA ST,,,,,,G00000156,,6,6
158,MANHATTAN AVE,,,,,,G00000158,,,
161,BERGEN ST,,,,,,G00000161,,9,9
172,SAINT MARK'S AVE,,,,,,G00000172,,9,9
173,JEFFERSON AVE,,,,,,G00000173,,9,9
181,SEVENTH AVE,,,,,,G00000181,,8,8
182,MYRTLE AVE,,,,,,G00000182,,7,7
185,N  8 ST,,,,,,G00000185,,,
188,JOHNSON AVE,,,,,,G00000188,,,
189,FULTON ST,,,,,,G00000189,,9,9
203,COURT ST,,,,,,G00000203,,10,6
205,KENT AVE,,,,,,G00000205,,,
206,KEAP ST,,,,,,G00000206,,,
208,FULTON ST,,,,,,G00000208,,7,7
217,KEAP ST,,,,,,G00000217,,7,7
229,48 ST,,,,,,G00000228,,8,8
234,ROEBLING ST,,,,,,G00000233,,,
