ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66,Street67,Street68,Street69,Street70,Street71,Street72,Street73,Street74,Street75,Street76,Street77,Street78,Street79,Street80,Street81,Street82,Street83,Street84,Street85,Street86
1,FURMAN,GRACE,MIDDAGH,MONTAGUE,PIERREPONT,PINEAPPLE,REMSEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,FLEET ALY,FRONT,FULTON,GARRISON,HOWARDS CT,JAMES,MAIN,MARKET,MERCEIN,MITCHELS WHARF,PEARL,WASHINGTON,WATER,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,FULTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,BRG,FULTON,JAY,LIBERTY PL,NASSAU,STRYKERS CT,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,BRG,GOLD,MARSHALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,BALTIC,BUSH,CENTRE,CHURCH,CLINTON,COLES,COLUMBIA,CONOVER,DIKEMAN,DWIGHT,ELIZABETH,FERRIS,HALLECK,HUNTINGTON,LEONARD,MILL,OSAGE WHARF,OTSEGO,PARTITION,PERCIVAL,RAPELYE,RICHARDS,SIGOURNEY,SULLIVAN,VAN BRUNT,VAN DYKE,WALCOTT,WARREN,WOLSEY WHARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ATLANTIC,ATLANTIC AVE,BEDFORD AVE,BREVOORT PL,CLASSON AVE,FLEET,FLUSHING AVE,FRANKLIN,FRANKLIN AVE,FULTON,GRAHAM,GWINNETT,HANCOCK,HARRISON AVE,HEYWARD,HICKORY,HOPKINS,JAMAICA AVE,KENT AVE,LEE AVE,LYNCH,MADISON,MARCY AVE,MORTON,MYDDLETON,NOSTRAND AVE,PUTNAM,THROOP AVE,WALTON,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0,1,1 AVE,10,10 AVE,11,11 AVE,12,13,14,15,16,17,18,19,2,2 AVE,20,21,22,23,24,25,26,27,28,29,3,3 AVE,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,49,5,5 AVE,50,51,52,53,54,55,56,57,6,6 AVE,7,7 AVE,8,8 AVE,9,9 AVE,BALTIC,BATH PLANK RD,BRAXTON,BUTLER,CARROLL,DEGRAW,DOUGLAS,DOUGLASS,FLATBUSH AVE,FLATBUSH RD,MACOMB,MIDDLE,MONTGOMERY,PRESIDENT,SACKETT,UNDERHILL AVE,UNION,VANDERBILT AVE,WARREN,WYKOFF
9,9 WARD AVE,ALBANY AVE,BAINBRIDGE,BEDFORD AVE,BERGEN,BROOKLYN AVE,BROOKLYN JAMAICA TURNPIKE,BUFFALO AVE,BUTLER,CANARSIE RD,CARROLL,CLARKSON AVE,CROWN,DECATUR,DEGHAW,DEGRAW,DOUGLAS,DOUGLASS,ELLERY,FLATBUSH AVE,FLATBUSH RD,FRANKLIN AVE,FULTON,GRAND AVE,GREENE,HALSEY,HERKIMER,HICKORY,HOPKINS,HOPKINSON AVE,HOWARD AVE,LEWIS,LONG ISLAND RR,MACDONOUGH,MACON,MCDONOUGH,MONTGOMERY,NEW YORK AVE,NOSTRAND AVE,PACIFIC,PARK AVE,PERRY AVE,PRESIDENT,PULASKY,RALPH AVE,REED AVE,ROCHESTER AVE,RODGERS AVE,SACKETT,SARATOGA AVE,SCHNECTADY AVE,SCHUYLER,SOMERS,STONE AVE,TROY AVE,TRUXTON,UNDERHILL AVE,UNION,UTICA AVE,WARREN,WASHINGTON AVE,WOTHERSPOON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,1 AVE,10,12,2,3,4,5,5 AVE,6,9,BAY,CARROLL,CENTRE,FLATBUSH AVE,FULTON,GOWANUS LN,GOWANUS RD,GRINNELL,GROVE PL,HAMILTON AVE BRG,HOYT,LEONARD,LIVINGSTON,LUQUER,NELSON,NEVINS,PRESIDENT,SIGOURNEY,SMITH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
