Ward,St1,St2,St3,St4,St5,St6,St7,St8,St9,St10,St11,St12,St13,St14,St15,St16,St17,St18,St19,St20,St21,St22,St23,St24,St25,St26,St27,St28,St29,St30,St31,St32,St33,St34,St35,St36,St37,St38,St39,St40,St41,St42,St43,St44,St45,St46,St47,St48,St49,St50,St51,St52,St53,St54,St55,St56,St57,St58,St59,St60,St61,St62,St63,St64,St65,St66,St67,St68,St69,St70,St71,St72,St73,St74,St75,St76,St77,St78,St79,St80,St81,St82,St83,St84,St85,St86
1,FURMAN,GRACE,MIDDAGH,MONTAGUE,PIERREPONT,PINEAPPLE,REMSEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,FLEET ALY,FRONT,FULTON,GARRISON,HOWARDS CT,JAMES,MAIN,MARKET,MERCEIN,MITCHELS WHARF,PEARL,WASHINGTON,WATER,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,FULTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,BRG,FULTON,JAY,LIBERTY PL,NASSAU,STRYKERS CT,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,BRG,GOLD,MARSHALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,BALTIC,BUSH,CENTRE,CHURCH,CLINTON,COLES,COLUMBIA,CONOVER,DIKEMAN,DWIGHT,ELIZABETH,FERRIS,HALLECK,HUNTINGTON,LEONARD,MILL,OSAGE WHARF,OTSEGO,PARTITION,PERCIVAL,RAPELYE,RICHARDS,SIGOURNEY,SULLIVAN,VAN BRUNT,VAN DYKE,WALCOTT,WARREN,WOLSEY WHARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ATLANTIC,ATLANTIC AVE,BEDFORD AVE,BREVOORT PL,CLASSON AVE,FLEET,FLUSHING AVE,FRANKLIN,FRANKLIN AVE,FULTON,GRAHAM,GWINNETT,HANCOCK,HARRISON AVE,HEYWARD,HICKORY,HOPKINS,JAMAICA AVE,KENT AVE,LEE AVE,LYNCH,MADISON,MARCY AVE,MORTON,MYDDLETON,NOSTRAND AVE,PUTNAM,THROOP AVE,WALTON,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0,1,1 AVE,10,10 AVE,11,11 AVE,12,13,14,15,16,17,18,19,2,2 AVE,20,21,22,23,24,25,26,27,28,29,3,3 AVE,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,49,5,5 AVE,50,51,52,53,54,55,56,57,6,6 AVE,7,7 AVE,8,8 AVE,9,9 AVE,BALTIC,BATH PLANK RD,BRAXTON,BUTLER,CARROLL,DEGRAW,DOUGLAS,DOUGLASS,FLATBUSH AVE,FLATBUSH RD,MACOMB,MIDDLE,MONTGOMERY,PRESIDENT,SACKETT,UNDERHILL AVE,UNION,VANDERBILT AVE,WARREN,WYKOFF
9,9 WARD AVE,ALBANY AVE,BAINBRIDGE,BEDFORD AVE,BERGEN,BROOKLYN AVE,BROOKLYN JAMAICA TURNPIKE,BUFFALO AVE,BUTLER,CANARSIE RD,CARROLL,CLARKSON AVE,CROWN,DECATUR,DEGHAW,DEGRAW,DOUGLAS,DOUGLASS,ELLERY,FLATBUSH AVE,FLATBUSH RD,FRANKLIN AVE,FULTON,GRAND AVE,GREENE,HALSEY,HERKIMER,HICKORY,HOPKINS,HOPKINSON AVE,HOWARD AVE,LEWIS,LONG ISLAND RR,MACDONOUGH,MACON,MCDONOUGH,MONTGOMERY,NEW YORK AVE,NOSTRAND AVE,PACIFIC,PARK AVE,PERRY AVE,PRESIDENT,PULASKY,RALPH AVE,REED AVE,ROCHESTER AVE,RODGERS AVE,SACKETT,SARATOGA AVE,SCHNECTADY AVE,SCHUYLER,SOMERS,STONE AVE,TROY AVE,TRUXTON,UNDERHILL AVE,UNION,UTICA AVE,WARREN,WASHINGTON AVE,WOTHERSPOON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,1 AVE,10,12,2,3,4,5,5 AVE,6,9,BAY,CARROLL,CENTRE,FLATBUSH AVE,FULTON,GOWANUS LN,GOWANUS RD,GRINNELL,GROVE PL,HAMILTON AVE BRG,HOYT,LEONARD,LIVINGSTON,LUQUER,NELSON,NEVINS,PRESIDENT,SIGOURNEY,SMITH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
