Ward,street,source
1,FURMAN,geo
2,FLEET ALY,geo
3,FULTON,geo
4,BRG,geo
5,BRG,geo
6,BALTIC,geo
7,ATLANTIC,geo
8,0,geo
9,9 WARD AVE,geo
10,1,geo
11,ADELPHI,geo
1,GRACE,geo
2,FRONT,geo
4,FULTON,geo
5,GOLD,geo
6,BUSH,geo
7,ATLANTIC AVE,geo
8,1,geo
9,ALBANY AVE,geo
10,1 AVE,geo
11,AUBURN PL,geo
1,MIDDAGH,geo
2,FULTON,geo
4,JAY,geo
5,MARSHALL,geo
6,CENTRE,geo
7,BEDFORD AVE,geo
8,1 AVE,geo
9,BAINBRIDGE,geo
10,10,geo
11,CARLTON AVE,geo
1,MONTAGUE,geo
2,GARRISON,geo
4,LIBERTY PL,geo
6,CHURCH,geo
7,BREVOORT PL,geo
8,10,geo
9,BEDFORD AVE,geo
10,12,geo
11,CLERMONT,geo
1,PIERREPONT,geo
2,HOWARDS CT,geo
4,NASSAU,geo
6,CLINTON,geo
7,CLASSON AVE,geo
8,10 AVE,geo
9,BERGEN,geo
10,2,geo
11,CLINTON AVE,geo
1,PINEAPPLE,geo
2,JAMES,geo
4,STRYKERS CT,geo
6,COLES,geo
7,FLEET,geo
8,11,geo
9,BROOKLYN AVE,geo
10,3,geo
11,CUMBERLAND,geo
1,REMSEN,geo
2,MAIN,geo
4,WASHINGTON,geo
6,COLUMBIA,geo
7,FLUSHING AVE,geo
8,11 AVE,geo
9,BROOKLYN JAMAICA TURNPIKE,geo
10,4,geo
11,DIVISION,geo
2,MARKET,geo
6,CONOVER,geo
7,FRANKLIN,geo
8,12,geo
9,BUFFALO AVE,geo
10,5,geo
11,FLATBUSH AVE,geo
2,MERCEIN,geo
6,DIKEMAN,geo
7,FRANKLIN AVE,geo
8,13,geo
9,BUTLER,geo
10,5 AVE,geo
11,FULTON,geo
2,MITCHELS WHARF,geo
6,DWIGHT,geo
7,FULTON,geo
8,14,geo
9,CANARSIE RD,geo
10,6,geo
11,HAMILTON,geo
2,PEARL,geo
6,ELIZABETH,geo
7,GRAHAM,geo
8,15,geo
9,CARROLL,geo
10,9,geo
11,HANSON,geo
2,WASHINGTON,geo
