OBJECTID,MN_STREET1850_FULL_STREE,MN_STREET1850_Y1850NAMESTREET,MN_STREET1850_Y1850LEFT_LOW,MN_STREET1850_Y1850LEFT_HIGH,MN_STREET1850_Y1850RIGHT_LOW,MN_STREET1850_Y1850RIGHT_HIGH,MN_STREET1850_JOINID,MN_STREET1850_Y1850NAMEALT,Ward_Right_1850,Ward Left 1850
3,E 28 ST,,201,231,200,230,G00010003,,18,18
4,BAYARD ST,,74,80,,,G00010004,,10,7
5,BAYARD ST,,70,72,,,G00010005,,10,10
6,BAYARD ST,,1,17,2,18,G00010006,,10,10
7,FORSYTH ST,,1,29,2,28,G00010007,,10,10
8,DIVISION ST,,46,68,37,61,G00010008,,7,10
9,E BROADWAY,,74,116,77,117,G00010009,,7,7
10,WALKER ST,,194,208,195,209,G00010010,,10,10
11,DIVISION ST,,162,180,153,171,G00010011,,7,10
12,DIVISION ST,,182,192,171,179,G00010012,,7,13
13,NORFOLK ST,,1,13,2,14,G00010013,,13,10
14,,,1,13,2,14,G00010014,,1,1
15,BOWLING GREEN ROW,,1,8,,,G00010015,,1,1
16,,,2,30,1,31,G00010016,,1,1
17,,,,,2,8,G00010017,,1,1
18,CHATHAM ST,,,,35,41,G00010018,,2,6
19,CHATHAM ST,,2,48,1,37,G00010019,,4,6
20,,EIGHTH AVE,409,425,396,414,G00010020,,16,16
21,,W 32 ST,118,176,117,177,G00010021,,16,16
22,,EIGHTH AVE,427,443,416,434,G00010022,,16,16
23,,9 AVE,341,355,336,356,G00010023,,16,16
24,,W 32 ST,178,242,179,243,G00010024,,16,16
25,,9 AVE,357,371,358,372,G00010025,,16,16
26,,W 32 ST,244,308,245,309,G00010026,,16,16
27,CHAMBERS ST,,2,20,1,17,G00010027,,6,6
28,CITY HALL PL,,2,10,1,9,G00010028,,6,6
29,,,,,5,5,G00010029,,1,1
30,,,2,4,1,3,G00010030,,1,1
31,,,6,10,5,11,G00010031,,1,1
32,,,109,111,108,114,G00010032,,1,1
33,,,113,119,116,124,G00010033,,1,1
35,,,239,249,,,G00010035,,6,3
37,PEARL ST,,513,533,514,534,G00010037,,6,6
38,THOMPSON ST,,21,49,20,44,G00010038,,8,8
39,ELM ST,,178,214,181,213,G00010039,,14,14
40,MARION ST,,2,32,1,33,G00010040,,14,14
41,,,179,213,178,212,G00010041,,14,14
42,,,175,205,174,206,G00010042,,14,14
43,,,125,157,124,156,G00010043,,14,14
44,MARION ST,,74,88,75,89,G00010044,,14,14
45,,,,,,,G00010045,,19,19
46,,,,,,,G00010046,,19,19
47,,,,,,,G00010047,,16,9
48,,,,,,,G00010048,,None,None
49,,,,,,,G00010049,,None,None
50,,,,,,,G00010050,,None,None
51,W 16 ST,,298,300,299,301,G00010051,,None,None
