Name,Name1850,AltName,Ward_Left,Left_Low,Left_High,Right_Low,Right_High,ObjectID,JoinId,Full_Name,Ward_Right
NA,NA,NA,18,201,231,200,230,3,G00010003,E 28,18
NA,NA,NA,7,74,80,NA,NA,4,G00010004,BAYARD,10
NA,NA,NA,10,70,72,NA,NA,5,G00010005,BAYARD,10
NA,NA,NA,10,1,17,2,18,6,G00010006,BAYARD,10
NA,NA,NA,10,1,29,2,28,7,G00010007,FORSYTH,10
NA,NA,NA,10,46,68,37,61,8,G00010008,DIVISION,7
NA,NA,NA,7,74,116,77,117,9,G00010009,E BROADWAY,7
NA,NA,NA,10,194,208,195,209,10,G00010010,WALKER,10
NA,NA,NA,10,162,180,153,171,11,G00010011,DIVISION,7
NA,NA,NA,13,182,192,171,179,12,G00010012,DIVISION,7
NA,NA,NA,10,1,13,2,14,13,G00010013,NORFOLK,13
NA,NA,NA,1,1,13,2,14,14,G00010014,NA,1
NA,NA,NA,1,1,8,NA,NA,15,G00010015,BOWLING GREEN ROW,1
NA,NA,NA,1,2,30,1,31,16,G00010016,NA,1
NA,NA,NA,1,NA,NA,2,8,17,G00010017,NA,1
NA,NA,NA,6,NA,NA,35,41,18,G00010018,CHATHAM,2
NA,NA,NA,6,2,48,1,37,19,G00010019,CHATHAM,4
8 AVE,8 AVE,NA,16,409,425,396,414,20,G00010020,NA,16
W 32,W 32,NA,16,118,176,117,177,21,G00010021,NA,16
8 AVE,8 AVE,NA,16,427,443,416,434,22,G00010022,NA,16
9 AVE,9 AVE,NA,16,341,355,336,356,23,G00010023,NA,16
W 32,W 32,NA,16,178,242,179,243,24,G00010024,NA,16
9 AVE,9 AVE,NA,16,357,371,358,372,25,G00010025,NA,16
W 32,W 32,NA,16,244,308,245,309,26,G00010026,NA,16
NA,NA,NA,6,2,20,1,17,27,G00010027,CHAMBERS,6
NA,NA,NA,6,2,10,1,9,28,G00010028,CITY HALL PL,6
NA,NA,NA,1,NA,NA,5,5,29,G00010029,NA,1
NA,NA,NA,1,2,4,1,3,30,G00010030,NA,1
NA,NA,NA,1,6,10,5,11,31,G00010031,NA,1
NA,NA,NA,1,109,111,108,114,32,G00010032,NA,1
NA,NA,NA,1,113,119,116,124,33,G00010033,NA,1
NA,NA,NA,3,239,249,NA,NA,35,G00010035,NA,6
NA,NA,NA,6,513,533,514,534,37,G00010037,PEARL,6
NA,NA,NA,8,21,49,20,44,38,G00010038,THOMPSON,8
NA,NA,NA,14,178,214,181,213,39,G00010039,ELM,14
NA,NA,NA,14,2,32,1,33,40,G00010040,MARION,14
NA,NA,NA,14,179,213,178,212,41,G00010041,NA,14
NA,NA,NA,14,175,205,174,206,42,G00010042,NA,14
NA,NA,NA,14,125,157,124,156,43,G00010043,NA,14
NA,NA,NA,14,74,88,75,89,44,G00010044,MARION,14
NA,NA,NA,19,NA,NA,NA,NA,45,G00010045,NA,19
NA,NA,NA,19,NA,NA,NA,NA,46,G00010046,NA,19
NA,NA,NA,9,NA,NA,NA,NA,47,G00010047,NA,16
NA,NA,NA,NA,NA,NA,NA,NA,48,G00010048,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,49,G00010049,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,50,G00010050,NA,NA
NA,NA,NA,NA,298,300,299,301,51,G00010051,W 16,NA
NA,NA,NA,NA,NA,NA,NA,NA,52,G00010052,NA,NA
NA,NA,NA,NA,326,366,325,365,53,G00010053,W 17,NA
NA,NA,NA,NA,NA,NA,NA,NA,54,G00010054,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,55,G00010055,NA,NA
NA,NA,NA,19,NA,NA,NA,NA,64,G00010064,NA,19
NA,NA,NA,19,NA,NA,NA,NA,65,G00010065,NA,19
NA,NA,NA,14,1,19,2,18,69,G00010069,JERSEY,14
NA,NA,NA,9,236,266,235,259,71,G00010071,W 13,9
NA,NA,NA,NA,NA,NA,NA,NA,73,G00010073,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,95,G00010095,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,96,G00010096,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,97,G00010097,NA,NA
NA,NA,NA,7,690,732,689,733,99,G00010099,WATER,7
NA,NA,NA,7,386,400,NA,NA,100,G00010100,SOUTH,NA
NA,NA,NA,7,345,373,344,372,101,G00010101,FRONT,7
NA,NA,NA,7,12,22,NA,NA,102,G00010102,CORLEARS,7
NA,NA,NA,7,2,10,NA,NA,103,G00010103,CORLEARS,7
NA,NA,NA,NA,NA,NA,NA,NA,104,G00010104,NA,NA
NA,NA,NA,NA,402,404,403,405,109,G00010109,NA,11
E 63,E 63,NA,19,NA,NA,NA,NA,110,G00010110,NA,19
E 62,E 62,NA,19,NA,NA,NA,NA,111,G00010111,NA,NA
E 61,E 61,NA,19,NA,NA,NA,NA,112,G00010112,NA,19
NA,NA,NA,19,NA,NA,NA,NA,113,G00010113,NA,19
NA,NA,NA,15,NA,NA,NA,NA,114,G00010114,JONES ALY,15
NA,NA,NA,15,54,64,53,63,115,G00010115,NA,15
NA,NA,NA,15,2,60,1,61,116,G00010116,NA,15
E 40,E 40,NA,19,NA,NA,NA,NA,117,G00010117,NA,18
E 39,E 39,NA,18,NA,NA,NA,NA,118,G00010118,NA,18
NA,NA,NA,13,15,41,16,42,120,G00010120,MANGIN,13
NA,NA,NA,13,21,49,20,50,121,G00010121,GOERCK,13
NA,NA,NA,13,21,45,22,46,122,G00010122,LEWIS,13
NA,NA,NA,13,21,45,22,46,133,G00010133,CANNON,13
NA,NA,NA,13,21,41,22,42,134,G00010134,NA,13
NA,NA,NA,13,21,43,22,44,135,G00010135,SHERIFF,13
NA,NA,NA,13,21,43,22,44,136,G00010136,WILLETT,13
NA,NA,NA,13,19,41,20,46,137,G00010137,PITT,13
NA,NA,NA,13,29,41,26,44,138,G00010138,RIDGE,13
