OBJECTID,GlobalID,JoinID,State,City,Borough,StreetModern,Valid 1850,GeoCheck 1850,ST Direction 1850,ST Name 1850,Left Low 1850,Left High 1850,Right Low 1850,Right High 1850,Issue 1850,Parity Left 1850,Parity Right 1850,ST Unopened 1850,ST Name Alt 1850,HNYC St Name 1850,JoinID 1850,Valid 1880,GeoCheck 1880,ST Direction 1880,ST Name 1880,Left Low 1880,Left High 1880,Right Low 1880,Right High 1880,Issue 1880,Parity Left 1880,Parity Right 1880,ST Unopened 1880,ST Name Alt 1880,HNYC St Name 1880,JoinID 1880,Valid 1910,GeoCheck 1910,ST Direction 1910,ST Name 1910,Left Low 1910,Left High 1910,Right Low 1910,Right High 1910,Issue 1910,Parity Left 1910,Parity Right 1910,ST Unopened 1910,ST Name Alt 1910,HNYC Street Name 1910,JoinID 1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate,Creator,EditDate,Editor,Issue_General,Ward Right 1850,ED Left 1880,ED Right 1880,ED Left 1910,ED Right 1910,Ward Left 1850
1,ddb6bce9-10cf-459d-b800-4b72cddcc098,G00010001,NY,New York,Manhattan,PARK PL,0,1,,,,,,,,,,,,,,1,1,,,30,58,29,57,,,,,,PARK PL,,1,1,,,30,58,29,57,,,,,,PARK PL,,421.11336593105,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,421.113347403292,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:04 PM,hnyc_columbia,,3,14,14,12,12,3
3,d9bdb4e2-0ca1-4df4-9e2f-0654cc0c40ba,G00010003,NY,New York,Manhattan,,1,1,,E 28 ST,201,231,200,230,,,,,,,,1,1,,E 28 ST ,349,371,,,,,,,,E 28 ST ,,0,1,,,,,,,,,,,,,,457.731465431747,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 5:48:13 AM,amv2173_columbia,457.731445280488,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:05 PM,hnyc_columbia,,18,501,502,,,18
4,b95f7b1f-7334-4ce8-8f04-4f8a7a6a7715,G00010004,NY,New York,Manhattan,,1,1,,BAYARD ST,74,80,,,,,,,,,,1,1,,DIVISION ST,74,78,,,,,,,,DIVISION ST,,0,1,,,,,,,,,,,,,,107.628270670307,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:05:55 PM,amv2173_columbia,107.628265943091,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:05 PM,hnyc_columbia,,10,74,194,,,7
5,66afcc08-5765-4f10-86ac-4e618e3c4b65,G00010005,NY,New York,Manhattan,,1,1,,BAYARD ST,70,72,,,,,,,,,,1,1,,DIVISION ST,70,72,,,,,,,,DIVISION ST,,0,1,,,,,,,,,,,,,,52.2956414009624,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:05:56 PM,amv2173_columbia,52.2956390980418,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:06 PM,hnyc_columbia,,10,192,194,,,10
6,b7989aab-5a8f-4905-9fed-4ff75c181b29,G00010006,NY,New York,Manhattan,,1,1,,BAYARD ST,1,17,2,18,,,,,,,,1,1,,BAYARD ST,1,17,2,18,,,,,,BAYARD ST,,0,1,,,,,,,,,,,,,,222.699333215065,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:05:56 PM,amv2173_columbia,222.699323406468,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:06 PM,hnyc_columbia,,10,192,193,,,10
7,27565c5a-96d2-43bc-8206-c9d61f1b2f5f,G00010007,NY,New York,Manhattan,,1,1,,FORSYTH ST,1,29,2,28,,,,,,,,1,1,,FORSYTH ST,1,29,2,30,,,,,,FORSYTH ST,,0,1,,,,,,,,,,,,,,463.293740080583,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:05:56 PM,amv2173_columbia,463.297192069733,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:07 PM,hnyc_columbia,,10,193,194,,,10
8,9e9e06f5-b226-44f7-8225-c7f8e2b512af,G00010008,NY,New York,Manhattan,,1,1,,DIVISION ST,46,68,37,61,,,,,,,,1,1,,DIVISION ST,46,68,45,61,,,,,,DIVISION ST,,0,1,,,,,,,,,,,,,,334.168324790538,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:05:57 PM,amv2173_columbia,334.168310069161,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:07 PM,hnyc_columbia,,7,192,74,,,10
9,097bd6da-09da-4665-b7b7-1704ffeabc3c,G00010009,NY,New York,Manhattan,,1,1,,E BROADWAY,74,116,77,117,,,,,,,,1,1,,E. BROADWAY,74,118,75,119,,,,,,E. BROADWAY,,0,1,,,,,,,,,,,,,,585.622734838972,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 6:39:02 PM,amv2173_columbia,585.623035427843,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:07 PM,hnyc_columbia,,7,74,77,,,7
10,1f687dc3-02aa-486e-8ae5-c09d4c49ccdd,G00010010,NY,New York,Manhattan,,1,1,,WALKER ST,194,208,195,209,,,,,,,,1,1,,,124,140,125,145,,,,,,WALKER ST,,0,1,,,,,,,,,,,,,,326.431188079833,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 2:50:52 AM,amv2173_columbia,326.431173704962,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:08 PM,hnyc_columbia,,10,192,200,,,10
11,c5c50cbd-c4d4-49d6-b69c-b864e4a94f15,G00010011,NY,New York,Manhattan,,1,1,,DIVISION ST,162,180,153,171,,,,,,,,1,1,,DIVISION ST,162,180,153,169,,,,,,DIVISION ST,,0,1,,,,,,,,,,,,,,269.534092614167,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:06:12 PM,amv2173_columbia,269.534080757446,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:08 PM,hnyc_columbia,,7,197,87,,,10
12,27636915-9011-4ac5-b3eb-021f46cb15d1,G00010012,NY,New York,Manhattan,,1,1,,DIVISION ST,182,192,171,179,,,,,,,,1,1,,DIVISION ST,182,194,171,179,,,,,,DIVISION ST,,0,1,,,,,,,,,,,,,,143.408356527259,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:06:12 PM,amv2173_columbia,143.408350208018,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:08 PM,hnyc_columbia,,7,148,87,,,13
13,ee3aa2f7-58bf-4d64-bb5d-54c2077e3be8,G00010013,NY,New York,Manhattan,,1,1,,NORFOLK ST,1,13,2,14,,,,,,,,1,1,,NORFOLK ST,1,13,2,14,,,,,,NORFOLK ST,,0,1,,,,,,,,,,,,,,262.333488024389,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:06:12 PM,amv2173_columbia,262.333488010568,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:08 PM,hnyc_columbia,,13,197,148,,,10
14,42d4e51c-6a13-4952-89dc-ac161c13e8b9,G00010014,NY,New York,Manhattan,,1,1,,,1,13,2,14,,,,,,,,1,1,,WHITEHALL ST,1,13,2,14,,,,,,WHITEHALL ST,,0,1,,,,,,,,,,,,,,218.185489968333,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 6:37:06 PM,amv2173_columbia,218.199211543212,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:08 PM,hnyc_columbia,,1,1,1,,,1
15,3f0822af-fd19-4a58-8798-ae008fed1e91,G00010015,NY,New York,Manhattan,,1,1,,BOWLING GREEN ROW,1,8,,,,M,,,,,,1,1,,BOWLING GREEN,1,8,,,,M,,,,BOWLING GREEN,,0,,,,,,,,,,,,,,,240.372204754315,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,240.372194175019,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:08 PM,hnyc_columbia,,1,1,1,,,1
16,ef7750f4-5b0f-4f6a-b57c-8b772744b83e,G00010016,NY,New York,Manhattan,,1,1,,,2,30,1,31,,,,,,,,1,1,,MARKETFIELD ST,1,31,2,30,,,,,,MARKETFIELD ST,,0,1,,,,,,,,,,,,,,478.228106498048,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 6:37:21 PM,amv2173_columbia,478.2281064971,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:09 PM,hnyc_columbia,,1,1,1,,,1
17,8c060a8b-c297-4b87-969c-6b0b24a5b6ad,G00010017,NY,New York,Manhattan,,1,1,,,,,2,8,,,,,,,,1,1,,BROADWAY,,,2,6,,,,,,BROADWAY,,0,1,,,,,,,,,,,,,,143.872771417945,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 6:36:36 PM,amv2173_columbia,143.872771403132,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:09 PM,hnyc_columbia,,1,1,1,,,1
18,e29913b1-4e44-4acf-9157-8c47ee109547,G00010018,NY,New York,Manhattan,,1,1,,CHATHAM ST,,,35,41,,,M,,,,,1,1,,PARK ROW,,,35,41,,,M,,,PARK ROW,,0,1,,,,,,,,,,,,,,249.309556307272,7/10/2019 11:07:10 PM,dpm2159_columbia,7/11/2019 4:49:02 AM,amv2173_columbia,249.309545340535,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:09 PM,hnyc_columbia,,2,0,11,,,6
19,dd4bf879-ef10-4f0c-a63a-99751182be7b,G00010019,NY,New York,Manhattan,,1,1,,CHATHAM ST,2,48,1,37,,,,,,,,1,1,,CHATHAM ST,40,60,1,49,,,,,,CHATHAM ST,,0,,,,,,,,,,,,,,,485.303667592103,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,485.303667596483,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:09 PM,hnyc_columbia,,4,38,36,,,6
20,4e25d5c6-f7f8-497a-9dae-e2d535b0bd5e,G00010020,NY,New York,Manhattan,EIGHTH AVE,1,1,,,409,425,396,414,,,,,,,,1,1,,,421,439,418,438,,,,,,EIGHTH AVE,,0,1,,,,,,,,,,,,,,250.961363520661,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:09:50 PM,amv2173_columbia,250.961352468842,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:09 PM,hnyc_columbia,,16,354,409,,,16
21,b40daeab-4ecd-4b31-b8c1-773f9dd1a82b,G00010021,NY,New York,Manhattan,W 32 ST,1,1,,,118,176,117,177,,,,,,,,1,1,,,200,260,201,265,,,,,,W 32 ST,,0,1,,,,,,,,,,,,,,898.80128000992,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:09:50 PM,amv2173_columbia,898.801527859146,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:10 PM,hnyc_columbia,,16,409,408,,,16
22,f242f4be-6cb6-4511-9349-111c14c7a9f4,G00010022,NY,New York,Manhattan,EIGHTH AVE,1,1,,,427,443,416,434,,,,,,,,1,1,,,441,459,440,458,,,,,,EIGHTH AVE,,0,1,,,,,,,,,,,,,,260.907216240842,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:09:51 PM,amv2173_columbia,260.907204767877,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:10 PM,hnyc_columbia,,16,402,408,,,16
23,3bb7e43d-e906-4cfe-9cf6-7ad016903b76,G00010023,NY,New York,Manhattan,9 AVE,1,1,,,341,355,336,356,,,,,,,,1,1,,,371,389,372,388,,,,,,9 AVE,,0,1,,,,,,,,,,,,,,248.890671444973,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:09:51 PM,amv2173_columbia,248.890660495327,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:10 PM,hnyc_columbia,,16,384,354,,,16
24,0c6e8b69-f0fa-4a91-a790-3d3045d9cb19,G00010024,NY,New York,Manhattan,W 32 ST,1,1,,,178,242,179,243,OV,,,,,,,1,1,,,300,386,301,379,,,,,,W 32 ST,,0,1,,,,,,,,,,,,,,899.878782048988,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:09:51 PM,amv2173_columbia,899.878782048886,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:10 PM,hnyc_columbia,,16,354,402,,,16
25,cd730478-885f-4189-a843-0f608a4c8600,G00010025,NY,New York,Manhattan,9 AVE,1,1,,,357,371,358,372,,,,,,,,1,1,,,391,409,390,408,,,,,,9 AVE,,0,1,,,,,,,,,,,,,,264.690014630509,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:09:52 PM,amv2173_columbia,264.690002979083,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:10 PM,hnyc_columbia,,16,385,402,,,16
