ED,Name,Min,Max
1,ALBANY,1,28
1,BEAVER,1,97
1,BRG,1,40
1,BROAD,NA,NA
1,BROADWAY,NA,NA
1,CARLISLE,1,14
1,CEDAR,1,159
1,COENTIES ALY,NA,NA
1,COENTIES SLIP,NA,NA
1,EDGAR,NA,NA
1,EXCHANGE ALY,NA,NA
1,EXCHANGE PL,NA,NA
1,FRONT,NA,NA
1,GOUVERNEUR LN,1,10
1,GREENWICH,1,142
1,HANOVER,NA,NA
1,HANOVER SQ,NA,NA
1,LIBERTY,1,149
1,MAIDEN LN,88,169
1,MILL LN,NA,NA
1,MOORE,1,38
1,MORRIS,1,27
1,NASSAU,1,40
1,NEW,1,83
1,OLD SLIP,NA,NA
1,PEARL,NA,NA
1,PINE,1,100
1,RECTOR,NA,NA
1,S WILLIAM,1,43
1,SOUTH,NA,NA
1,STATE,NA,NA
1,STONE,1,70
1,THAMES,12,31
1,WALL,1,122
1,WASHINGTON,1,146
1,WATER,NA,NA
1,WEST,NA,NA
1,WHITEHALL,NA,NA
1,WILLIAM,1,78
1,NA,NA,NA
2,ANN,1,94
2,BEEKMAN,1,140
2,BROADWAY,149,222
2,CLIFF,1,56
2,DUTCH,1,20
2,FLETCHER,1,46
2,FRONT,NA,NA
2,FULTON,1,158
2,GOLD,1,84
2,JOHN,1,122
2,LIBERTY,1,78
2,LIBERTY PL,1,12
2,MAIDEN LN,1,169
2,NASSAU,41,151
2,PARK ROW,NA,NA
2,PEARL,200,312
2,PECK SLIP,NA,NA
2,PLATT,1,41
2,RYDERS ALY,1,17
2,SOUTH,NA,NA
2,SPRUCE,NA,NA
2,THEATRE ALY,1,6
2,WATER,154,258
2,WILLIAM,79,183
2,NA,NA,NA
3,BARCLAY,1,106
3,BROADWAY,NA,NA
3,CHAMBERS,68,208
3,CHURCH,1,94
3,CORTLANDT,50,84
3,DEY,59,72
3,FULTON,159,262
3,GREENWICH,143,299
3,HUDSON,NA,NA
3,LIBERTY,79,149
3,MURRAY,1,115
3,PARK PL,1,49
3,READE,NA,NA
3,VESEY,1,111
3,W BROADWAY,NA,NA
3,WARREN,1,130
3,WASHINGTON,206,222
3,WEST,NA,NA
3,NA,NA,NA
4,CATHERINE,1,106
4,CATHERINE SLIP,1,28
4,DOVERS,1,40
4,FRONT,237,257
4,GOLD,81,103
4,HENRY,1,16
4,KIMLOW SQ,NA,NA
4,MADISON,34,60
4,OLIVER,1,33
4,PARK ROW,NA,NA
4,PEARL,313,464
4,PECK SLIP,NA,NA
4,ROSE,1,68
4,SOUTH,NA,NA
4,SPRUCE,NA,NA
4,WATER,259,279
4,WORTH,NA,NA
4,NA,NA,NA
5,BEACH,NA,NA
5,BROADWAY,289,417
5,CANAL,NA,NA
5,CHURCH,NA,NA
5,COLLISTER,NA,NA
5,DESBROSSES,1,40
5,DUANE,NA,NA
5,ERICSSON PL,14,43
5,FRANKLIN,NA,NA
5,FRANKLIN PL,NA,NA
5,GREENWICH,296,479
5,HARRISON,1,58
5,HUBERT,1,51
5,HUDSON,NA,NA
5,JAY,1,19
5,LAIGHT,1,94
5,LEONARD,1,99
5,LISPENARD,1,75
5,N MOORE,1,106
5,READE,NA,NA
5,SAINT JOHNS LN,1,16
5,STAPLE,1,9
5,THOMAS,1,54
5,VARICK,NA,NA
5,VESTRY,1,70
5,W BROADWAY,NA,NA
5,WALKER,1,69
5,WASHINGTON,395,475
5,WATTS,NA,NA
5,WEST,NA,NA
5,WHITE,1,69
5,WORTH,1,81
5,YORK,1,17
5,NA,NA,NA
6,BAXTER,26,102
6,BAYARD,39,108
6,BENSON PL,NA,NA
6,BOWERY,1,60
6,BROADWAY,NA,NA
6,CANAL,1,193
6,CATHERINE LN,1,30
6,CENTRE,1,165
6,CORTLANDT ALY,1,50
6,DOYERS,1,19
6,DUANE,60,93
6,ELIZABETH,1,31
6,ELK,1,17
6,FRANK HOGAN PL,141,170
6,FRANKLIN,40,67
6,KIMLOW SQ,NA,NA
6,LAFAYETTE,48,110
6,LEONARD,NA,NA
6,MOSCO,NA,NA
6,MOTT,1,85
6,MULBERRY,30,98
6,PARK ROW,NA,NA
6,PEARL,465,512
6,PELL,1,36
6,READE,1,42
6,SAINT ANDREWS PLZ,22,29
6,WALKER,70,125
6,WHITE,70,136
6,WORTH,NA,NA
6,NA,NA,NA
7,CANAL,NA,NA
7,CATHERINE,1,106
7,CATHERINE SLIP,1,28
7,CHERRY,117,503
7,CLINTON,195,271
7,DIVISION,NA,NA
7,E BROADWAY,NA,NA
7,F D R DR,NA,NA
7,GOUVERNEUR,20,76
7,GOUVERNEUR E SLIP,1,8
7,GOUVERNEUR W SLIP,NA,NA
7,GRAND,NA,NA
7,HENRY,15,339
7,JACKSON,1,77
7,JEFFERSON,1,54
7,MADISON,61,414
7,MARKET,NA,NA
7,MARKET SLIP,81,104
7,MONROE,1,211
7,MONTGOMERY,NA,NA
7,PIKE,1,75
7,PIKE SLIP,76,90
7,RUTGERS,5,59
7,RUTGERS PL,NA,NA
7,SOUTH,NA,NA
7,WATER,NA,NA
7,NA,NA,NA
8,BROADWAY,418,609
8,BROOME,434,591
8,CANAL,NA,NA
8,CHARLTON,1,113
8,CLARK,1,32
8,DOMINICK,1,56
8,GRAND,1,119
8,GREENE,1,147
8,GREENWICH,480,586
8,HOWARD,47,54
8,HUDSON,214,385
8,KING,1,117
8,MAC DOUGAL,30,73
8,MERCER,1,151
8,PRINCE,81,206
8,RENWICK,1,45
8,SPRING,88,354
8,SULLIVAN,1,165
8,THOMPSON,1,163
8,VANDAM,1,101
8,VARICK,72,205
8,W BROADWAY,1,167
8,W HOUSTON,NA,NA
8,WASHINGTON,476,567
8,WATTS,NA,NA
8,WEST,NA,NA
8,WOOSTER,1,161
8,NA,NA,NA
9,10 AVE,1,50
9,6 AVE,1,207
9,7 AVE,1,48
9,8 AVE,NA,NA
9,9 AVE,NA,NA
9,BANK,1,155
9,BARROW,NA,NA
9,BEDFORD,NA,NA
9,BETHUNE,1,59
9,BLEECKER,211,396
9,CARMINE,NA,NA
9,CHARLES,1,172
9,CHARLES LN,NA,NA
9,CHRISTOPHER,NA,NA
9,CLARKSON,NA,NA
9,COMMERCE,1,41
9,CORNELIA,1,42
9,DOWNING,1,71
9,GANSEVOORT,NA,NA
9,GAY,1,23
9,GREENWICH,587,835
9,GREENWICH AVE,1,150
9,GROVE,NA,NA
9,HORATIO,NA,NA
9,HUDSON,NA,NA
9,JANE,NA,NA
9,JONES,1,34
9,LEROY,1,168
9,MORTON,1,114
9,PATCHIN PL,1,10
9,PERRY,NA,NA
9,SAINT LUKES PL,NA,NA
9,VARICK,NA,NA
9,W 10,1,211
9,W 11,1,199
9,W 12,NA,NA
9,W 13,77,234
9,W 14,NA,NA
9,W 4,NA,NA
9,W HOUSTON,NA,NA
9,W LITTLE 12,NA,NA
9,W WASHINGTON PL,NA,NA
9,WASHINGTON,568,830
9,WAVERLY PL,NA,NA
9,WEEHAWKEN,1,11
9,WEST,NA,NA
9,NA,NA,NA
10,ALLEN,1,146
10,BOWERY,1,213
10,BROOME,211,340
10,CANAL,NA,NA
10,CHRYSTIE,43,175
10,DELANCEY,19,131
10,DIVISION,NA,NA
10,ELDRIDGE,1,152
10,ESSEX,1,132
10,FORSYTH,30,166
10,GRAND,236,373
10,HESTER,49,151
10,LUDLOW,NA,NA
10,NORFOLK,82,113
10,ORCHARD,1,136
10,RIVINGTON,36,127
10,NA,NA,NA
11,ATTORNEY,112,176
11,AVE B,NA,NA
11,AVE C,1,203
11,AVE D,NA,NA
11,BARUCH DR,71,128
11,BARUCH PL,118,158
11,CLINTON,1,71
11,COLUMBIA,69,132
11,E 10,348,440
11,E 11,210,293
11,E 12,280,359
11,E 13,NA,NA
11,E 14,286,321
11,E 2,205,298
11,E 3,181,357
11,E 4,575,708
11,E 5,206,351
11,E 6,275,411
11,E 7,183,286
11,E 8,294,401
11,E 9,302,401
11,E HOUSTON,NA,NA
11,L WALD,1,14
11,MANGIN,89,100
11,PITT,79,142
11,RIDGE,78,131
11,RIVINGTON,164,289
11,SHERIFF,101,129
11,STANTON,170,340
11,SZOLD PL,1,22
11,NA,NA,NA
12,1 AVE,NA,NA
12,10 AVE,NA,NA
12,12 AVE,NA,NA
12,2 AVE,NA,NA
12,3 AVE,NA,NA
12,5 AVE,NA,NA
12,AMSTERDAM AVE,NA,NA
12,BROADWAY,NA,NA
12,C N P,NA,NA
12,C W P,NA,NA
12,COLUMBUS AVE,NA,NA
12,DONNELLON SQ,NA,NA
12,E 100,NA,NA
12,E 101,NA,NA
12,E 102,NA,NA
12,E 103,NA,NA
12,E 104,NA,NA
12,E 105,NA,NA
12,E 106,NA,NA
12,E 107,NA,NA
12,E 108,NA,NA
12,E 109,NA,NA
12,E 110,NA,NA
12,E 111,NA,NA
12,E 112,NA,NA
12,E 113,NA,NA
12,E 114,NA,NA
12,E 115,NA,NA
12,E 116,NA,NA
12,E 117,NA,NA
12,E 118,NA,NA
12,E 119,NA,NA
12,E 120,NA,NA
12,E 121,NA,NA
12,E 122,NA,NA
12,E 123,NA,NA
12,E 124,NA,NA
12,E 125,NA,NA
12,E 126,NA,NA
12,E 127,NA,NA
12,E 128,NA,NA
12,E 129,NA,NA
12,E 130,NA,NA
12,E 131,NA,NA
12,E 86,NA,NA
12,E 87,NA,NA
12,E 88,NA,NA
12,E 89,NA,NA
12,E 90,NA,NA
12,E 91,NA,NA
12,E 92,NA,NA
12,E 93,NA,NA
12,E 94,NA,NA
12,E 95,NA,NA
12,E 96,NA,NA
12,E 97,NA,NA
12,E 98,NA,NA
12,E 99,NA,NA
12,E END AVE,NA,NA
12,ESPLANADE GD PLZ,NA,NA
12,F DOUGLAS BLVD,NA,NA
12,HAMILTON PL,NA,NA
12,LENOX AVE,NA,NA
12,MACOMBS PL,NA,NA
12,MADISON AVE,NA,NA
12,MORNINGSIDE AVE,NA,NA
12,MOUNT MORRIS W PARK,NA,NA
12,OLD BROADWAY,NA,NA
12,PARK AVE,NA,NA
12,PLEASANT AVE,NA,NA
12,SAINT NICHOLAS AVE,NA,NA
12,SAINT NICHOLAS PL,NA,NA
12,W 108,NA,NA
12,W 109,NA,NA
12,W 111,NA,NA
12,W 112,NA,NA
12,W 113,NA,NA
12,W 114,NA,NA
12,W 115,NA,NA
12,W 116,NA,NA
12,W 117,NA,NA
12,W 118,NA,NA
12,W 119,NA,NA
12,W 120,NA,NA
12,W 121,NA,NA
12,W 122,NA,NA
12,W 123,NA,NA
12,W 124,NA,NA
12,W 125,NA,NA
12,W 126,NA,NA
12,W 127,NA,NA
12,W 128,NA,NA
12,W 129,NA,NA
12,W 130,NA,NA
12,W 131,NA,NA
12,W 132,NA,NA
12,W 133,NA,NA
12,W 134,NA,NA
12,W 135,NA,NA
12,W 138,NA,NA
12,W 139,NA,NA
12,W 140,NA,NA
12,W 141,NA,NA
12,W 142,NA,NA
12,W 143,NA,NA
12,W 150,NA,NA
12,W 151,NA,NA
12,W 152,NA,NA
12,W 153,NA,NA
12,W 154,NA,NA
12,W 155,NA,NA
12,W 156,NA,NA
12,W 157,NA,NA
12,W 158,NA,NA
12,W 159,NA,NA
12,W 160,NA,NA
12,W 161,NA,NA
12,W 163,NA,NA
12,W 164,NA,NA
12,W 165,NA,NA
12,W 168,NA,NA
12,W 169,NA,NA
12,W 170,NA,NA
12,W 171,NA,NA
12,W 172,NA,NA
12,W 173,NA,NA
12,W 175,NA,NA
12,W 176,NA,NA
12,W 177,NA,NA
12,W 178,NA,NA
12,W 179,NA,NA
12,W 180,NA,NA
12,W 181,NA,NA
12,W 182,NA,NA
12,W 183,NA,NA
12,W 184,NA,NA
12,W 185,NA,NA
12,W 187,NA,NA
12,W 202,NA,NA
12,W 203,NA,NA
12,W 205,NA,NA
12,W 206,NA,NA
12,W 207,NA,NA
12,W 211,NA,NA
12,W 212,NA,NA
12,W 213,NA,NA
12,W 214,NA,NA
12,W 215,NA,NA
12,W 216,NA,NA
12,W 87,NA,NA
12,W 88,NA,NA
12,W 89,NA,NA
12,W 90,NA,NA
12,W 91,NA,NA
12,W 92,NA,NA
12,W 93,NA,NA
12,W 94,NA,NA
12,W 95,NA,NA
12,W 96,NA,NA
12,W 97,NA,NA
12,W 98,NA,NA
12,W 99,NA,NA
12,W END AVE,NA,NA
12,YORK AVE,NA,NA
12,NA,NA,NA
13,ABRAHAM KAZAN,1,20
13,ATTORNEY,26,111
13,BARUCH DR,47,70
13,BIALYSTOKER PL,1,20
13,BROOME,51,210
13,CLINTON,72,194
13,COLUMBIA,43,72
13,DELANCEY,148,331
13,F D R DR,1,55
13,GRAND,NA,NA
13,LEWIS,1,20
13,NORFOLK,82,113
13,PITT,1,80
13,RIDGE,43,77
13,RIVINGTON,128,289
13,SUFFOLK,29,106
13,NA,NA,NA
14,BAXTER,130,159
14,BOWERY,59,284
14,BROADWAY,418,609
14,BROOME,341,440
14,CANAL,1,193
14,CENTRE,162,259
14,CENTRE MARKET PL,NA,NA
14,CROSBY,1,126
14,ELIZABETH,30,245
14,GRAND,120,235
14,HESTER,148,216
14,HOWARD,1,46
14,LAFAYETTE,34,179
14,MOTT,86,291
14,MULBERRY,99,290
14,PRINCE,1,82
14,SPRING,1,87
14,NA,1,570
15,4 AVE,31,156
15,5 AVE,NA,NA
15,6 AVE,1,207
15,ASTOR PL,NA,NA
15,BLEECKER,NA,NA
15,BOND,NA,NA
15,BOWERY,285,365
15,BROADWAY,610,860
15,CARMINE,1,16
15,COOPER SQ,NA,NA
15,E 10,63,150
15,E 11,1,60
15,E 12,1,70
15,E 13,1,67
15,E 14,NA,NA
15,E 4,341,394
15,E 8,NA,NA
15,E 9,69,131
15,ELIZABETH,246,276
15,GREAT JONES,NA,NA
15,GREAT JONES ALY,NA,NA
15,GREENE,232,268
15,LAFAYETTE,NA,NA
15,LAGUARDIA PL,1,199
15,MAC DOUGAL,NA,NA
15,MAC DOUGAL ALY,NA,NA
15,MERCER,152,266
15,MINETTA,1,22
15,MINETTA LN,1,27
15,MOTT,292,323
15,MULBERRY,285,309
15,SHINBONE ALY,NA,NA
15,SULLIVAN,166,240
15,THOMPSON,164,248
15,UNIVERSITY PL,1,94
15,W 10,1,62
15,W 11,61,135
15,W 12,80,149
15,W 13,1,76
15,W 14,1,64
15,W 3,1,142
15,W 4,183,340
15,W 8,64,134
15,W 9,1,68
15,W HOUSTON,NA,NA
15,W WASHINGTON PL,1,28
15,WANAMAKER PL,132,153
15,WASHINGTON E SQ,NA,NA
15,WASHINGTON MEWS,NA,NA
15,WASHINGTON N SQ,NA,NA
15,WASHINGTON PL,1,33
15,WASHINGTON W SQ,NA,NA
15,WAVERLY PL,1,131
15,NA,NA,NA
16,10 AVE,51,470
16,11 AVE,NA,NA
16,6 AVE,NA,NA
16,7 AVE,49,488
16,8 AVE,80,566
16,9 AVE,NA,NA
16,BROADWAY,NA,NA
16,W 14,NA,NA
16,W 15,55,299
16,W 16,79,297
16,W 17,70,324
16,W 18,64,307
16,W 19,69,303
16,W 20,66,304
16,W 21,NA,NA
16,W 22,80,315
16,W 23,1,324
16,W 24,71,333
16,W 25,52,304
16,W 26,55,305
16,W 27,52,299
16,W 28,45,284
16,W 29,55,301
16,W 30,NA,NA
16,W 31,63,321
16,W 32,57,309
16,W 33,70,344
16,W 34,14,326
16,W 35,66,551
16,W 36,1,364
16,W 37,70,359
16,W 38,66,323
16,W 39,74,351
16,W 40,72,525
16,NA,NA,NA
17,1 AVE,1,230
17,2 AVE,NA,NA
17,3 AVE,NA,NA
17,4 AVE,31,156
17,ALLEN,147,214
17,AVE A,NA,NA
17,AVE B,NA,NA
17,BOWERY,214,365
17,CHRYSTIE,1,233
17,CLINTON,1,71
17,COOPER SQ,NA,NA
17,E 1,1,129
17,E 10,NA,NA
17,E 11,1,209
17,E 12,63,283
17,E 13,68,304
17,E 14,57,287
17,E 2,1,204
17,E 3,1,180
17,E 4,395,574
17,E 5,1,205
17,E 6,NA,NA
17,E 7,1,182
17,E 8,NA,NA
17,E 9,154,286
17,E HOUSTON,NA,NA
17,ELDRIDGE,147,200
17,ESSEX,125,184
17,EXTRA PL,1,7
17,FORSYTH,165,222
17,LAFAYETTE CT,NA,NA
17,LUDLOW,133,194
17,NORFOLK,NA,NA
17,ORCHARD,137,195
17,RIVINGTON,36,163
17,SAINT MARKS PL,1,107
17,STANTON,1,169
17,STUYVESANT,NA,NA
17,SUFFOLK,105,167
17,T SHEVCHENKO PL,NA,NA
17,NA,NA,NA
18,1 AVE,NA,NA
18,2 AVE,NA,NA
18,3 AVE,129,577
18,4 AVE,NA,NA
18,5 AVE,NA,NA
18,6 AVE,NA,NA
18,AVE A,NA,NA
18,AVE B,NA,NA
18,BROADWAY,NA,NA
18,BROADWAY ALY,NA,NA
18,E 14,NA,NA
18,E 15,NA,NA
18,E 16,NA,NA
18,E 17,NA,NA
18,E 18,1,299
18,E 19,1,245
18,E 20,NA,NA
18,E 21,NA,NA
18,E 22,1,201
18,E 23,NA,NA
18,E 24,1,231
18,E 25,1,184
18,E 26,NA,NA
18,E 27,1,199
18,E 28,1,199
18,E 29,1,231
18,E 30,1,354
18,E 31,1,199
18,E 32,1,166
18,E 33,1,220
18,E 34,1,219
18,E 35,NA,NA
18,E 36,NA,NA
18,E 37,NA,NA
18,E 38,NA,NA
18,E 39,NA,NA
18,E 40,NA,NA
