Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,Ward_Right,Ward_Left,ObjectID,JoinId
NA,NA,NA,10,NA,NA,NA,NA,1,NA,SCHERMERHORN,10
NA,NA,NA,7,NA,NA,NA,NA,2,NA,WALWORTH,7
NA,NA,NA,NA,NA,NA,NA,NA,3,NA,58,NA
NA,NA,NA,NA,NA,NA,NA,NA,22,NA,CONSELYEA,NA
NA,NA,NA,8,NA,NA,NA,NA,33,NA,W PROSPECT,8
NA,NA,NA,NA,NA,NA,NA,NA,34,NA,GLENMORE AVE,NA
NA,NA,NA,10,NA,NA,NA,NA,37,NA,3 AVE,10
NA,NA,NA,10,NA,NA,NA,NA,39,NA,GARNET,10
NA,NA,NA,8,NA,NA,NA,NA,41,NA,SHERMAN,8
NA,NA,NA,NA,NA,NA,NA,NA,44,NA,OLD WOOD POINT RD,NA
NA,NA,NA,NA,NA,NA,NA,NA,48,NA,GRAHAM AVE,NA
NA,NA,NA,NA,NA,NA,NA,NA,51,NA,POWERS,NA
NA,NA,NA,1,NA,NA,NA,NA,53,NA,HICKS,3
NA,NA,NA,9,NA,NA,NA,NA,55,NA,WASHINGTON AVE,9
NA,NA,NA,9,NA,NA,NA,NA,57,NA,LEWIS AVE,9
NA,NA,NA,8,NA,NA,NA,NA,63,NA,7 AVE,8
NA,NA,NA,6,NA,NA,NA,NA,75,NA,PRESIDENT,6
NA,NA,NA,8,NA,NA,NA,NA,76,NA,1,8
NA,NA,NA,7,NA,NA,NA,NA,79,NA,HEYWARD,7
NA,NA,NA,8,NA,NA,NA,NA,81,NA,4 AVE,8
NA,NA,NA,6,NA,NA,NA,NA,84,NA,CT,10
NA,NA,NA,9,NA,NA,NA,NA,88,NA,GRAND AVE,9
NA,NA,NA,9,NA,NA,NA,NA,102,NA,THOMAS BOYLAND,9
NA,NA,NA,6,NA,NA,NA,NA,107,NA,VANDYKE,6
NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NEWJERSEY AVE,NA
NA,NA,NA,9,NA,NA,NA,NA,111,NA,BERGEN,9
NA,NA,NA,10,NA,NA,NA,NA,114,NA,3 AVE,10
NA,NA,NA,NA,NA,NA,NA,NA,115,NA,UNION AVE,NA
NA,NA,NA,7,NA,NA,NA,NA,116,NA,RYERSON WALK,7
NA,NA,NA,11,NA,NA,NA,NA,119,NA,FLEET PL,11
NA,HICKORY,NA,9,NA,NA,NA,NA,120,NA,LEXINGTON AVE,9
