ED,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59
1,Columbia Hts,Cranberry St,Doughty St,Elizabeth Pl,Front St,Fulton St,Furman St,Hicks St,McKenney St,Middagh St,Poplar St,Vine St,Willow St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Clark St,Columbia Hts,Cranberry St,Furman St,Hicks St,Love Ln,Orange St,Pierrepont Pl,Pierrepont St,Pineapple St,Willow St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Columbia Hts,Columbia Pl,Furman St,Grace Court Aly,Grace Ct,Hicks St,Joralemon St,Montague St,Montague Terr,Pierrepont Pl,Pierrepont St,Remsen St,State St,Willow Pl,Willow St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Atlantic Ave,Columbia Pl,Columbia St,Emmett St,Furman St,Hicks St,Joralemon St,State St,Willow Pl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Cranberry St,Doughty St,Fulton St,Henry St,Hicks St,High St,Main St,Middagh St,Nassau St,Orange St,Pineapple St,Poplar St,Prospect St,Sands St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Clark St,Clinton St,College Pl,Concord St,Fulton St,Henry St,Hicks St,Johnson St,Love Ln,Monroe Pl,Montague St,Pierrepont St,Pineapple St,Sprague\'s Aly,Tillary St,Washington St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Adams St,Atlantic Ave,Boerum Pl,Clinton St,Court St,Fulton St,Joralemon St,Livingston St,Montague St,Remsen St,Schermerhorn St,State St,Washington St,Willoughby St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Atlantic Ave,Clinton St,Henry St,Hunt\'s Lane,Joralemon St,Livingston St,Montague St,Remsen St,Schermerhorn St,Sidney Pl,State St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Atlantic Ave,Garden Pl,Grace Court Aly,Grace Ct,Henry St,Hicks St,Joralemon St,Montague St,Remsen St,State St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Columbia Hts,Dock St,Elizabeth Pl,Front St,Fulton St,Furman St,Garrison St,Harrison Ct,Henry St,Hicks St,Howard Ct,James St,Main St,Mercein St,Plymouth St,Prospect St,Sands St,St. Ann\'s Ct,Washington St,Water St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Adams St,Fleet\'s Aly,Flint St,Front St,Howard Ct,Main St,Plymouth St,Prospect St,Sands St,St. Ann\'s Ct,Stewart\'s Aly,Washington St,Water St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Adams St,Franklin Pl,Front St,Jay St,John St,Marshall St,Pearl St,Plymouth St,Prospect St,Sands St,Talman St,Washington St,Water St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Bridge St,Franklin Pl,Front St,Jay St,John St,Marshall St,Phillip\'s Aly,Plymouth St,Prospect St,Prospect Terr,Sands St,Talman St,Waldron Pl,Water St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Atlantic Ave,Boerum Pl,Bridge St,Fulton St,Gallatin Pl,Hoyt St,Jay St,Lawrence St,Livingston St,Pearl St,Red Hook Ln,Schermerhorn St,Smith St,State St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3rd Ave,Bond St,DeKalb Ave,Duffield St,Elm Pl,Flatbush Ave,Fulton Pl,Fulton St,Gold St,Grove Pl,Hanover Pl,Hoyt St,Lafayette Ave,Livingston St,Navy St,Nevins St,Schermerhorn St,State St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3rd Ave,4th Ave,Atlantic Ave,Flatbush Ave,Hanson Pl,Nevins St,Pacific St,Raymond St,State St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3rd Ave,4th Ave,Bergen St,Dean St,Nevins St,Pacific St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Atlantic Ave,Bergen St,Bond St,Dean St,Hoyt St,Nevins St,Pacific St,Schermerhorn St,State St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Atlantic Ave,Bergen St,Bond St,Dean St,Hoyt St,Pacific St,Smith St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Amity St,Atlantic Ave,Boerum Pl,Court St,Dean St,Pacific St,Smith St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Adams St,Bridge St,Concord St,Gothic Aly,Hart\'s Aly,High St,Jay St,Nassau St,Pearl St,Sands St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Adams St,Bridge St,Chapel St,Concord St,Harper Ct,Jay St,Lawrence Pl,Lawrence St,Nutria Aly,Pearl St,Stryker Ct,Tillary St,Washington St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Adams St,Bridge St,Flood\'s Aly,Jay St,Johnson St,Lawrence St,Myrtle Ave,Pearl St,Union Ln,Washington St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Adams St,Bridge St,Flood\'s Aly,Jay St,Johnson St,Lawrence St,Pearl St,Tillary St,Washington St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Adams St,Boerum Pl,Bridge St,Flood\'s Aly,Fulton St,Gallatin Pl,Jay St,Joralemon St,Lawrence St,Myrtle Ave,Pearl St,Red Hook Ln,Smith St,Union Ln,Washington St,Willoughby St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Adams St,Clark St,Clinton St,Concord St,Cranberry St,Force\'s Pl,Fulton St,Gothic Aly,High St,Johnson St,Liberty St,Middagh St,Montague St,Mumby\'s Aly,Myrtle Ave,Nassau St,Naylor\'s Aly,Pierrepont St,Pineapple St,Sands St,Snell\'s Aly,Sprague\'s Aly,Tillary St,Washington Pl,Washington St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Bridge St,Gold St,Hudson Ave,John St,Little St,Marshall St,Plymouth St,United States St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Bridge St,Evans St,Front St,Gold St,Harrison Aly,Hudson Ave,Jackson Ct,Little St,Plymouth St,United States St,Water St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Bridge St,Charles St,Cornell\'s Aly,Duffield St,Front St,Gold St,Hart\'s Aly,High St,Nassau St,Prospect St,Sands St,Talman St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Bridge Rd,Cornell\'s Aly,Dixon\'s Aly,Front St,Gold St,Green Ln,Hudson Ave,Jackson Ct,Navy St,Prospect St,Sands St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Bridge Rd,Concord Pl,Concord St,Dixon\'s Aly,Flushing Ave,Gold St,Green Ln,High St,Hudson Ave,Nassau Pl,Nassau St,Navy St,Navy Yard,Prince St,Sands St,Smith\'s Aly,Way-home St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Bridge St,Chapel St,Concord St,Duffield St,Gold St,Johnson St,Matilda Pl,Nassau St,Tillary St,Way-home St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Fleet Pl,Gold St,Hudson Ave,Johnson St,Navy St,Prince St,Tillary St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Concord Pl,Concord St,Fleet Pl,Gold St,Hudson Ave,Nassau Pl,Navy St,Park Ave,Prince St,Prince Street Ct,Tillary St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Amity St,Atlantic Ave,Clinton St,Columbia Pl,Columbia St,Court St,Emmett St,Furman St,Henry St,Hicks St,Pacific St,Smoky Hollow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Amity St,Clinton St,Columbia St,Congress St,Court St,Dean St,Emmett St,Henry St,Hicks St,Pacific St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Baltic St,Canal,Clinton St,Columbia St,Congress St,Court St,Henry St,Hicks St,Verandah Pl,Warren St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
