ED,St1,St2,St3,St4,St5,St6,St7,St8,St9,St10,St11,St12,St13,St14,St15,St16,St17,St18,St19,St20,St21,St22,St23,St24,St25,St26,St27,St28,St29,St30,St31,St32,St33,St34,St35,St36,St37,St38,St39,St40,St41,St42,St43,St44,St45,St46,St47,St48
1,COLUMBIA HTS,CRANBERRY,DOUGHTY,ELIZABETH PL,EVERITT,FULTON,FURMAN,HICKS,MCKENNY,MIDDAGH,OLD FULTON,POPLAR,VINE,WILLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,CLARK,COLUMBIA HTS,CRANBERRY,HICKS,ORANGE,PIERREPONT,PINEAPPLE,WILLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,FURMAN,GRACE CT,HICKS,JORALEMON,MONTAGUE,MONTAGUE TER,PIERREPONT,PIERREPONT PL,REMSEN,STATE,WILLOW PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ATLANTIC AVE,COLUMBIA PL,FURMAN,HICKS,JORALEMON,STATE,WILLOW PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,CADMAN W PLZ,CRANBERRY,HENRY,HICKS,MIDDAGH,OLD FULTON,ORANGE,PINEAPPLE,PINEAPPLE WALK,POPLAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,CADMAN W PLZ,CLARK,CLINTON,COLLEGE PL,HENRY,HICKS,LOVE LN,MONROE PL,MONTAGUE,PIERREPONT,PINEAPPLE,PINEAPPLE WALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ATLANTIC AVE,BOERUM PL,CADMAN W PLZ,CLINTON,CT,FULTON,JORALEMON,LIVINGSTON,MONTAGUE,REMSEN,SCHERMERHORN,STATE,WILLOUGHBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,AITKEN PL,ATLANTIC AVE,CLINTON,HENRY,HUNTS LN,JORALEMON,MONTAGUE,REMSEN,SIDNEY PL,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,ATLANTIC AVE,GARDEN PL,GRACE CT ALY,HENRY,HICKS,JORALEMON,MONTAGUE,REMSEN,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,CADMAN E PLZ,CADMAN W PLZ,DOCK,FRONT,FULTON,MAIN,OLD DOCK,OLD FULTON,PROSPECT,SAND,WASHINGTON,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,ADAMS,CADMAN E PLZ,FLEET ALY,FRONT,MAIN,PLYMOUTH,PROSPECT,SAND,WASHINGTON,WATER,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,ADAMS,FRONT,JAY,JOHN,PEARL,PLYMOUTH,PROSPECT,SAND,WASHINGTON,WATER,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,BRG,FRONT,JAY,JOHN,PROSPECT,SAND,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ATLANTIC AVE,BOERUM PL,FULTON,GALLATIN PL,HOYT,LIVINGSTON,RED HOOK LN,SCHERMERHORN,SMITH,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3 AVE,BOND,ELM PL,FLATBUSH AVE,FULTON,GROVE PL,HANOVER PL,HOYT,LIVINGSTON,NEVINS,SCHERMERHORN,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3 AVE,4 AVE,ATLANTIC AVE,FLATBUSH AVE,NEVINS,PACIFIC,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3 AVE,4 AVE,BERGEN,DEAN,NEVINS,PACIFIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
