ED,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55
1,Battery Pl,Beaver St,Bowling Green,Bridge St,Broad St,Broadway,Castle Park,Coenties Aly,Coenties Slip,Cuyler\'s Aly,Front St,Greenwich St,Marketfield St,Moore St,New St,Old Sl,Pearl St,Pier 1,Pier 2,Pier 3,South St,State St,Stone St,Washington St,Water St,Whitehall St,William St,William St S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1st Ln,2nd Ln,3rd Ln,4th Ln,Arthur St,Battery Pl,Beaver St,Berrian Ave,Bowling Green,Broadway,Broadway Ave,Cambreling Ave,Central Ave,College St,Delancy Pl,Edgar St,Ellis Island,Exchange Aly,Exchange Pl,Fordham Rd,Fredrich St,Governors Island,Greenwich St,Isaac St,Jacob Pl,Jerome Park,John St N,Kingsbridge Rd,Kingsbridge St,Lexington Ave,Lorillard St,Lorillard Ter,Main St,Marion Ave,Morris St,Mosholu Ave,New Church St,Oliver St,Orchard Ct,Prospect Ave N,Pyne St,Railroad Ave,Rector St,Ridge St,Southern Blvd,State St,Taylor Ave,Thomas Ave,Trebout Ave,Walton Pl,William St,Williamsbridge Rd,Williamsbridge St,NA,NA
3,Battery Pl,Greenwich St,Morris St,New Church St,Washington St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Battery Pl,Morris St,Rector St,Washington St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Edgar St,Greenwich St,Morris St,New Church St,Rector St,Washington St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Albany St,Carlisle St,Greenwich St,Rector St,Washington St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Albany St,Cedar St,Greenwich St,Liberty St,Thames St,Washington St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Albany St,Broadway,Carlisle St,Cedar St,Greenwich St,Liberty St,New Church St,Pine St,Rector St,Temple St,Thames St,Wall St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Beaver St,Broad St,Broadway,Cedar St,Depeyster St,Exchange Aly,Exchange Ct,Exchange Pl,Fletcher St,Front St,Gold St,Gouverneur Ln,Hanover St,Jauncey Ct,Jones Ln,Liberty Pl,Liberty St,Lord\'s Ct,Maiden Ln,Morris St,Nassau St,New St,Old Sl,Pearl St,Pier 12,Pier 13,Pier 15,Pier 17,Pier 18,Pine St,Rector St,South St,Stone St,Wall St,Water St,William St,William St S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Ann St,Beekman St,Burling Slip,Cliff St,Ferry St,Fletcher St,Front St,Fulton St,Gold St,Jacob St,John St,Liberty St,Maiden Ln,Pearl St,Peck Sl,Pier 17,Pier 18,Platt St,Ryders Aly,South St,Spruce St,Water St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Ann St,Beekman St,Broadway,Cortlandt St,Dey St,Dutch St,Fulton St,Gold St,John St,Liberty Pl,Liberty St,Maiden Ln,Nassau St,Park Row,Platt St,Ryders Aly,Spruce St,Theatre Aly,William St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Broadway,Cortlandt St,Dey St,Greenwich St,John St,Liberty St,Maiden Ln,New Church St,Temple St,Washington St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Ann St,Barclay St,Broadway,Church St,College Pl,Dey St,Fulton St,Greenwich St,New Church St,Park Row,Vesey St,Washington St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Barclay St,Bishop\'s Ln,Broadway,Broadway   W,Chambers St,Church St,College Pl,Greenwich St,Hudson St,Mission Pl,Murray St,Park Pl,Reade St,Warren St,Washington St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Broadway,Broadway   W,Catherine Ln,Church St,Duane St,Franklin Pl,Franklin St,Harrison St,Hudson St,Jay St,Leonard St,Mission Pl,Pearl St,Reade St,Thomas St,Trimble Pl,Varick St,Worth St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Caroline St,Duane St,Greenwich St,Harrison St,Hudson St,Jay St,Reade St,Staple St,Thomas St,Washington St,West St,Worth St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Franklin St,Greenwich St,Harrison St,Hudson St,Leonard St,Moore St N,Staple St,Washington St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Beach St,Collister St,Greenwich St,Hubert St,Hudson St,Moore St N,Washington St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Beach St,Broadway   W,Franklin St,Hudson St,Moore St N,Varick St,White St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,5th Ave S,Beach St,Broadway,Broadway   W,Canal St,Church St,Franklin Pl,Franklin St,Greene St,Laight St,Lispenard St,Mercer St,Moore St N,Saint Johns Ln,Thompson St,Varick St,Walker St,White St,Wooster St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Beach St,Canal St,Desbrosses St,Hubert St,Hudson St,Laight St,Saint Johns Ln,Thompson St,Varick St,Vestry St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Collister St,Desbrosses St,Greenwich St,Hubert St,Hudson St,Laight St,Vestry St,Washington St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Canal St,Collister St,Desbrosses St,Greenwich St,Hudson St,Laight St,Renwick St,Vestry St,Watts St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Canal St,Desbrosses St,Greenwich St,Hoboken St,Hudson River,Washington St,Watts St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Catherine Sl,Catherine St,Cherry St,Hamilton St,Oak St,Oliver St,South St,Water St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Bowery St,Broadway   E,Catherine St,Chatham St,Division St,Doyers St,Hamilton St,Henry St,Madison St,Monroe St,Mott St,New Bowery St,Oak St,Oliver St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Henry St,James St,Madison St,New Bowery St,Oak St,Oliver St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Broadway   E,Chatham St,Henry St,James St,Madison St,Mott St,Mulberry St,New Bowery St,Oliver St,Roosevelt St,Worth St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Batavia St,James St,Madison St,New Bowery St,New Chambers St,Oak St,Roosevelt St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Batavia St,Cherry St,James Slip,James St,New Chambers St,Roosevelt St,Water St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Batavia St,Cherry St,Front St,James Slip,James St,New Chambers St,Oak St,Oliver St,Roosevelt St,South St,Water St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Cherry St,Dover St,Franklin Sq,Front St,Peck Sl,River Front,Roosevelt St,South St,Water St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Batavia St,Cherry St,Chestnut St,Dover St,Frankfort St,Franklin Sq,Hague St,New Bowery St,New Chambers St,Oak St,Pearl St,Roosevelt St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Chestnut St,Cliff St,Frankfort St,Franklin Sq,Gold St,Hague St,Jacob St,Madison St,New Bowery St,New Chambers St,Oak St,Pearl St,Roosevelt St,Rose St,Vandewater St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Chambers St,Chatham St,Chestnut St,Duane St,Madison St,New Chambers St,Pearl St,Reade St,Roosevelt St,Rose St,William St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Centre St,Chambers St,Chatham St,Chestnut St,Duane St,Frankfort St,Gold St,Madison St,Nassau St,New Chambers St,Park Row,Pearl St,Rose St,Tryon Row,William St,William St N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Chatham St,Cliff St,Dover St,Ferry St,Frankfort St,Franklin Sq,Gold St,Jacob St,Nassau St,Park Row,Pearl St,Peck Sl,Rose St,Spruce St,Vandewater St,Water St,William St,William St N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Barclay St,Beekman St,Broadway,Centre St,Chambers St,Chatham St,City Hall Pl,Duane St,Elm St,Frankfort St,Manhattan Pl W,Murray St,Nassau St,New Chambers St,Park Pl,Park Row,Park St,Pearl St,Reade St,Spruce St,Thomas St,Tryon Row,Warren St,Worth St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Centre St,Chambers St,Chatham St,City Hall Pl,Duane St,New Chambers St,Park St,Pearl St,Reade St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Baxter St,Centre St,Chatham St,City Hall Pl,Mulberry St,Park St,Pearl St,Worth St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Baxter St,Bayard St,Centre St,Franklin St,Leonard St,Mulberry St,Park St,Worth St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Bayard St,Broadway   E,Chatham St,James St,Mott St,Mulberry St,Park St,Pell St,Worth St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Bayard St,Bowery St,Broadway   E,Canal St,Catherine St,Chatham St,Division St,Doyers St,Elizabeth St,Mott St,New Bowery St,Park St,Pell St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
