ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66,Street67,Street68,Street69,Street70,Street71,Street72,Street73,Street74
1,BATTERY PL,BEAVER,BOWLING GREEN,BRG,BROAD,BROADWAY,CASTLE PARK,COENTIES ALY,COENTIES SLIP,CUYLERS ALY,FRONT,GREENWICH,MARKETFIELD,MOORE,NEW,NONE,OLD SL,PEARL,PIER 1,PIER 2,PIER 3,S WILLIAM,SOUTH,STATE,STONE,WASHINGTON,WATER,WHITEHALL,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1 LN,2 LN,3 LN,4 LN,ARTHUR,BATTERY PL,BEAVER,BERRIAN AVE,BOWLING GREEN,BROADWAY,BROADWAY AVE,CAMBRELING AVE,CENTRAL AVE,COLLEGE,DELANCY PL,EDGAR,ELLIS ISLAND,EXCHANGE ALY,EXCHANGE PL,FORDHAM RD,FREDRICH,GOVERNORS ISLAND,GREENWICH,ISAAC,JACOB PL,JEROME PARK,KINGSBRIDGE,KINGSBRIDGE RD,LEXINGTON AVE,LORILLARD,LORILLARD TER,MAIN,MARION AVE,MORRIS,MOSHOLU AVE,N JOHN,NEW CHURCH,OLIVER,ORCHARD CT,PROSPECT AVE N,PYNE,RAILROAD AVE,RECTOR,RIDGE,SOUTHERN BLVD,STATE,TAYLOR AVE,THOMAS AVE,TREBOUT AVE,WALTON PL,WILLIAM,WILLIAMSBRIDGE,WILLIAMSBRIDGE RD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ALBANY,BATTERY PL,BROADWAY,CEDAR,GREENWICH,LIBERTY,LIBERTY BRG,MORRIS,NEW CHURCH,TEMPLE,TRINITY PL,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ALBANY,BATTERY PL,BROADWAY,CARLISLE,CEDAR,GREENWICH,MORRIS,NULL,RECTOR,THAMES,TRINITY PL,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,BATTERY PL,BROADWAY,EDGAR,EXCHANGE ALY,GREENWICH,MORRIS,NEW CHURCH,RECTOR,TRINITY PL,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,ALBANY,BATTERY PL,BROADWAY,CARLISLE,GREENWICH,MORRIS,RECTOR,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ALBANY,BEAVER,BROAD,BROADWAY,CEDAR,EXCHANGE PL,GREENWICH,HANOVER,LIBERTY,MAIDEN LN,NASSAU,NEW,PEARL,PINE,THAMES,WALL,WASHINGTON,WEST,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ALBANY,BEAVER,BROAD,BROADWAY,CARLISLE,CEDAR,COENTIES ALY,COENTIES SLIP,GREENWICH,HANOVER,HANOVER SQ,LIBERTY,MAIDEN LN,MILL LN,NEW CHURCH,NULL,OLD SLIP,PEARL,PINE,RECTOR,S WILLIAM,STONE,TEMPLE,THAMES,WALL,WATER,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,BEAVER,BROAD,BROADWAY,CEDAR,COENTIES SLIP,CUYLERS ALY,DE PEYSTER,DEPEYSTER,EXCHANGE ALY,EXCHANGE CT,EXCHANGE PL,FLETCHER,FRONT,GOLD,GOUVERNEUR LN,HANOVER,JAUNCEY CT,JONES LN,LIBERTY,LIBERTY PL,LORDS CT,MAIDEN LN,MORRIS,NASSAU,NEW,NULL,OLD SL,OLD SLIP,PEARL,PIER 12,PIER 13,PIER 15,PIER 17,PIER 18,PINE,RECTOR,S WILLIAM,SOUTH,STONE,WALL,WATER,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ANN,BEEKMAN,BROADWAY,BURLING SLIP,CLIFF,DUTCH,FERRY,FLETCHER,FRONT,FULTON,GOLD,JACOB,JOHN,LIBERTY,LIBERTY PL,MAIDEN LN,NASSAU,PARK ROW,PEARL,PECK SL,PIER 17,PIER 18,PLATT,RYDERS ALY,SOUTH,SPRUCE,THEATRE ALY,WATER,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
