OBJECTID,MN_STREET1880_FULL_STREE,MN_STREET1880_Y1880NAMESTREET,MN_STREET1880_Y1880LEFT_LOW,MN_STREET1880_Y1880LEFT_HIGH,MN_STREET1880_Y1880RIGHT_LOW,MN_STREET1880_Y1880RIGHT_HIGH,MN_STREET1880_JOINID,MN_STREET1880_Y1880NAMEALT,MN_STREET1880_MINUS_ED_ED,MN_STREET1880_PLUS_ED_ED
1,,PARK PL,30,58,29,57,G00010001,,14,14
3,E 28 ST ,E 28 ST ,349,371,,,G00010003,,501,502
4,DIVISION ST,DIVISION ST,74,78,,,G00010004,,74,194
5,DIVISION ST,DIVISION ST,70,72,,,G00010005,,192,194
6,BAYARD ST,BAYARD ST,1,17,2,18,G00010006,,192,193
7,FORSYTH ST,FORSYTH ST,1,29,2,30,G00010007,,193,194
8,DIVISION ST,DIVISION ST,46,68,45,61,G00010008,,192,74
9,E. BROADWAY,E. BROADWAY,74,118,75,119,G00010009,,74,77
10,,WALKER ST,124,140,125,145,G00010010,,192,200
11,DIVISION ST,DIVISION ST,162,180,153,169,G00010011,,197,87
12,DIVISION ST,DIVISION ST,182,194,171,179,G00010012,,148,87
13,NORFOLK ST,NORFOLK ST,1,13,2,14,G00010013,,197,148
14,WHITEHALL ST,WHITEHALL ST,1,13,2,14,G00010014,,1,1
15,BOWLING GREEN,BOWLING GREEN,1,8,,,G00010015,,1,1
16,MARKETFIELD ST,MARKETFIELD ST,1,31,2,30,G00010016,,1,1
17,BROADWAY,BROADWAY,,,2,6,G00010017,,1,1
18,PARK ROW,PARK ROW,,,35,41,G00010018,,0,11
19,CHATHAM ST,CHATHAM ST,40,60,1,49,G00010019,,38,36
20,,EIGHTH AVE,421,439,418,438,G00010020,,354,409
21,,W 32 ST,200,260,201,265,G00010021,,409,408
22,,EIGHTH AVE,441,459,440,458,G00010022,,402,408
23,,9 AVE,371,389,372,388,G00010023,,384,354
24,,W 32 ST,300,386,301,379,G00010024,,354,402
25,,9 AVE,391,409,390,408,G00010025,,385,402
26,,W 32 ST,400,462,401,469,G00010026,,384,385
27,CHAMBERS ST,CHAMBERS ST,2,20,1,21,G00010027,,38,38
28,CITY HALL ST,CITY HALL PL,2,14,1,9,G00010028,,38,38
29,TEMPLE ST,TEMPLE ST,7,11,8,12,G00010029,,8,8
30,THAMES ST,THAMES ST,2,4,1,3,G00010030,,8,8
31,THAMES ST,THAMES ST,6,12,5,11,G00010031,,8,8
32,BROADWAY,BROADWAY,111,113,108,112,G00010032,,8,9
33,BROADWAY,BROADWAY,115,129,114,124,G00010033,,8,9
35,BROADWAY,BROADWAY,239,249,,,G00010035,,14,0
36,DUANE ST,DUANE ST,36,60,39,59,G00010036,,38,38
37,PEARL ST,PEARL ST,513,535,514,534,G00010037,,38,38
38,THOMPSON ST,THOMPSON ST,21,47,22,48,G00010038,,121,121
39,ELM ST,ELM ST,176,210,177,209,G00010039,,53,53
40,MARION ST,MARION ST,2,38,1,39,G00010040,,53,54
41,MULBERRY ST,MULBERRY ST,177,211,178,210,G00010041,,54,55
42,MOTT ST,MOTT ST,171,205,172,206,G00010042,,55,56
43,ELIZABETH ST,ELIZABETH ST,129,163,130,164,G00010043,,56,57
44,ELM ST,ELM ST,80,90,79,89,G00010044,,63,63
45,FIRST AVE,FIRST AVE,873,889,876,892,G00010045,,552,552
46,E 42 ST,E 42 ST,101,133,100,132,G00010046,,570,570
47,W 14 ST,W 14 ST,500,560,501,561,G00010047,,244,247
48,ELEVENTH AVE,ELEVENTH AVE,,,2,18,G00010048,,247,247
49,W 15 ST,W 15 ST,500,560,501,557,G00010049,,247,247
50,ELEVENTH AVE,ELEVENTH AVE,,,20,38,G00010050,,247,247
51,W 16 ST,W 16 ST,500,556,501,557,G00010051,,247,326
52,ELEVENTH AVE,ELEVENTH AVE,41,59,40,58,G00010052,,326,326
53,W 17 ST,W 17 ST,500,560,501,561,G00010053,,326,326
54,ELEVENTH AVE,ELEVENTH AVE,61,79,60,78,G00010054,,326,326
55,W 18 ST,W 18 ST,500,560,501,561,G00010055,,326,326
56,ELEVENTH AVE,ELEVENTH AVE,81,99,80,98,G00010056,,326,326
57,W 19 ST,W 19 ST,500,560,501,561,G00010057,,326,326
58,ELEVENTH AVE,ELEVENTH AVE,101,119,100,118,G00010058,,326,326
59,W 20 ST,W 20 ST,500,560,501,561,G00010059,,326,326
60,ELEVENTH AVE,ELEVENTH AVE,121,139,120,138,G00010060,,326,326
61,W 21 ST,W 21 ST,500,560,501,561,G00010061,,326,326
63,ELEVENTH AVE ,ELEVENTH AVE ,141,159,140,158,G00010063,,326,326
64,E 66 ST ,E 66 ST ,501,541,500,540,G00010064,,616,616
65,E 65 ST ,E 65 ST ,501,541,500,540,G00010065,,616,618
66,W 53 ST,W 53 ST,600,650,601,651,G00010066,,509,509
67,12 AVE,12 AVE,,,,,G00010067,,509,509
68,W 56 ST,W 56 ST,600,650,601,651,G00010068,,514,514
69,,JERSEY ST,1,19,2,18,G00010069,,63,63
70,,BEEKMAN PL,2,18,1,19,G00010070,,552,552
71,W 13 ST,W 13 ST,400,454,401,455,G00010071,,244,244
72,W 11 ST,W 11 ST,,,401,441,G00010072,,None,None
73,GANSEVOORT ST,GANSEVOORT ST,110,148,,,G00010073,,243,243
76,13 AVE,13 AVE,,,56,68,G00010076,,243,243
77,BOGERT ST,ROGERT ST,,,,,G00010077,,243,243
78,WEST ST,WEST ST,537,539,536,538,G00010078,,243,243
79,13 AVE,13 AVE,,,70,82,G00010079,,243,243
80,BLOOMFIELD ST,BLOOMFIELD ST,,,,,G00010080,,243,243
