Name,Full_Name,Name1880,AltName,Left_Low,Left_High,Right_Low,Right_High,ED_Minus,ED_Plus,ObjectID,JoinId
PARK PL,NA,PARK PL,NA,30,58,29,57,14,14,1,G00010001
E 28,E 28,E 28,NA,349,371,NA,NA,501,502,3,G00010003
DIVISION,DIVISION,DIVISION,NA,74,78,NA,NA,74,194,4,G00010004
DIVISION,DIVISION,DIVISION,NA,70,72,NA,NA,192,194,5,G00010005
BAYARD,BAYARD,BAYARD,NA,1,17,2,18,192,193,6,G00010006
FORSYTH,FORSYTH,FORSYTH,NA,1,29,2,30,193,194,7,G00010007
DIVISION,DIVISION,DIVISION,NA,46,68,45,61,192,74,8,G00010008
E. BROADWAY,E. BROADWAY,E. BROADWAY,NA,74,118,75,119,74,77,9,G00010009
WALKER,NA,WALKER,NA,124,140,125,145,192,200,10,G00010010
DIVISION,DIVISION,DIVISION,NA,162,180,153,169,197,87,11,G00010011
DIVISION,DIVISION,DIVISION,NA,182,194,171,179,148,87,12,G00010012
NORFOLK,NORFOLK,NORFOLK,NA,1,13,2,14,197,148,13,G00010013
WHITEHALL,WHITEHALL,WHITEHALL,NA,1,13,2,14,1,1,14,G00010014
BOWLING GREEN,BOWLING GREEN,BOWLING GREEN,NA,1,8,NA,NA,1,1,15,G00010015
MARKETFIELD,MARKETFIELD,MARKETFIELD,NA,1,31,2,30,1,1,16,G00010016
BROADWAY,BROADWAY,BROADWAY,NA,NA,NA,2,6,1,1,17,G00010017
PARK ROW,PARK ROW,PARK ROW,NA,NA,NA,35,41,0,11,18,G00010018
CHATHAM,CHATHAM,CHATHAM,NA,40,60,1,49,38,36,19,G00010019
8 AVE,NA,8 AVE,NA,421,439,418,438,354,409,20,G00010020
W 32,NA,W 32,NA,200,260,201,265,409,408,21,G00010021
8 AVE,NA,8 AVE,NA,441,459,440,458,402,408,22,G00010022
9 AVE,NA,9 AVE,NA,371,389,372,388,384,354,23,G00010023
W 32,NA,W 32,NA,300,386,301,379,354,402,24,G00010024
9 AVE,NA,9 AVE,NA,391,409,390,408,385,402,25,G00010025
W 32,NA,W 32,NA,400,462,401,469,384,385,26,G00010026
CHAMBERS,CHAMBERS,CHAMBERS,NA,2,20,1,21,38,38,27,G00010027
CITY HALL PL,CITY HALL,CITY HALL PL,NA,2,14,1,9,38,38,28,G00010028
TEMPLE,TEMPLE,TEMPLE,NA,7,11,8,12,8,8,29,G00010029
THAMES,THAMES,THAMES,NA,2,4,1,3,8,8,30,G00010030
THAMES,THAMES,THAMES,NA,6,12,5,11,8,8,31,G00010031
BROADWAY,BROADWAY,BROADWAY,NA,111,113,108,112,8,9,32,G00010032
BROADWAY,BROADWAY,BROADWAY,NA,115,129,114,124,8,9,33,G00010033
BROADWAY,BROADWAY,BROADWAY,NA,239,249,NA,NA,14,0,35,G00010035
DUANE,DUANE,DUANE,NA,36,60,39,59,38,38,36,G00010036
PEARL,PEARL,PEARL,NA,513,535,514,534,38,38,37,G00010037
THOMPSON,THOMPSON,THOMPSON,NA,21,47,22,48,121,121,38,G00010038
ELM,ELM,ELM,NA,176,210,177,209,53,53,39,G00010039
MARION,MARION,MARION,NA,2,38,1,39,53,54,40,G00010040
MULBERRY,MULBERRY,MULBERRY,NA,177,211,178,210,54,55,41,G00010041
MOTT,MOTT,MOTT,NA,171,205,172,206,55,56,42,G00010042
ELIZABETH,ELIZABETH,ELIZABETH,NA,129,163,130,164,56,57,43,G00010043
ELM,ELM,ELM,NA,80,90,79,89,63,63,44,G00010044
1 AVE,1 AVE,1 AVE,NA,873,889,876,892,552,552,45,G00010045
E 42,E 42,E 42,NA,101,133,100,132,570,570,46,G00010046
W 14,W 14,W 14,NA,500,560,501,561,244,247,47,G00010047
11 AVE,11 AVE,11 AVE,NA,NA,NA,2,18,247,247,48,G00010048
W 15,W 15,W 15,NA,500,560,501,557,247,247,49,G00010049
11 AVE,11 AVE,11 AVE,NA,NA,NA,20,38,247,247,50,G00010050
W 16,W 16,W 16,NA,500,556,501,557,247,326,51,G00010051
11 AVE,11 AVE,11 AVE,NA,41,59,40,58,326,326,52,G00010052
W 17,W 17,W 17,NA,500,560,501,561,326,326,53,G00010053
11 AVE,11 AVE,11 AVE,NA,61,79,60,78,326,326,54,G00010054
W 18,W 18,W 18,NA,500,560,501,561,326,326,55,G00010055
11 AVE,11 AVE,11 AVE,NA,81,99,80,98,326,326,56,G00010056
W 19,W 19,W 19,NA,500,560,501,561,326,326,57,G00010057
11 AVE,11 AVE,11 AVE,NA,101,119,100,118,326,326,58,G00010058
W 20,W 20,W 20,NA,500,560,501,561,326,326,59,G00010059
11 AVE,11 AVE,11 AVE,NA,121,139,120,138,326,326,60,G00010060
W 21,W 21,W 21,NA,500,560,501,561,326,326,61,G00010061
11 AVE,11 AVE,11 AVE,NA,141,159,140,158,326,326,63,G00010063
E 66,E 66,E 66,NA,501,541,500,540,616,616,64,G00010064
E 65,E 65,E 65,NA,501,541,500,540,616,618,65,G00010065
W 53,W 53,W 53,NA,600,650,601,651,509,509,66,G00010066
12 AVE,12 AVE,12 AVE,NA,NA,NA,NA,NA,509,509,67,G00010067
W 56,W 56,W 56,NA,600,650,601,651,514,514,68,G00010068
JERSEY,NA,JERSEY,NA,1,19,2,18,63,63,69,G00010069
BEEKMAN PL,NA,BEEKMAN PL,NA,2,18,1,19,552,552,70,G00010070
W 13,W 13,W 13,NA,400,454,401,455,244,244,71,G00010071
W 11,W 11,W 11,NA,NA,NA,401,441,NA,NA,72,G00010072
GANSEVOORT,GANSEVOORT,GANSEVOORT,NA,110,148,NA,NA,243,243,73,G00010073
13 AVE,13 AVE,13 AVE,NA,NA,NA,56,68,243,243,76,G00010076
ROGERT,BOGERT,ROGERT,NA,NA,NA,NA,NA,243,243,77,G00010077
WEST,WEST,WEST,NA,537,539,536,538,243,243,78,G00010078
13 AVE,13 AVE,13 AVE,NA,NA,NA,70,82,243,243,79,G00010079
BLOOMFIELD,BLOOMFIELD,BLOOMFIELD,NA,NA,NA,NA,NA,243,243,80,G00010080
WEST,WEST,WEST,NA,1,7,NA,NA,243,243,81,G00010081
13 AVE,13 AVE,13 AVE,NA,NA,NA,2,8,NA,NA,83,G00010083
BANK,BANK,BANK,NA,NA,NA,NA,NA,NA,NA,84,G00010084
13 AVE,13 AVE,13 AVE,NA,NA,NA,10,16,NA,NA,85,G00010085
BETHUNE,BETHUNE,BETHUNE,NA,63,73,66,74,NA,NA,86,G00010086
13 AVE,13 AVE,13 AVE,NA,NA,NA,18,28,NA,NA,87,G00010087
W 12,W 12,W 12,NA,NA,NA,403,427,NA,NA,88,G00010088
13 AVE,13 AVE,13 AVE,NA,NA,NA,30,36,NA,NA,89,G00010089
JANE,JANE,JANE,NA,142,162,143,163,NA,NA,90,G00010090
13 AVE,13 AVE,13 AVE,NA,NA,NA,38,46,NA,NA,91,G00010091
HORATIO,HORATIO,HORATIO,NA,120,148,NA,NA,NA,NA,92,G00010092
13 AVE,13 AVE,13 AVE,NA,NA,NA,48,54,NA,NA,93,G00010093
13 AVE,13 AVE,13 AVE,NA,NA,NA,84,106,243,243,94,G00010094
W LITTLE 12,W LITTLE 12,W LITTLE 12,NA,NA,NA,NA,NA,243,244,95,G00010095
13 AVE,13 AVE,13 AVE,NA,NA,NA,108,122,244,244,96,G00010096
W 13,W 13,W 13,NA,500,550,501,551,244,244,97,G00010097
13 AVE,13 AVE,13 AVE,NA,NA,NA,124,130,244,244,98,G00010098
WATER,WATER,WATER,NA,686,736,687,737,130,130,99,G00010099
SOUTH,SOUTH,SOUTH,NA,387,409,NA,NA,130,NA,100,G00010100
FRONT,FRONT,FRONT,NA,346,388,345,389,130,130,101,G00010101
