ED,Name,Min,Max
1,BATTERY PARK,NA,NA
1,BATTERY PL,NA,NA
1,BEAVER,1,33
1,BRG,1,43
1,BROAD,NA,NA
1,BROADWAY,NA,NA
1,EAST RIVER,NA,NA
1,ELLIS ISLAND,NA,NA
1,FRONT,1,20
1,MARKETFIELD,NA,NA
1,MOORE,1,38
1,NEW,NA,NA
1,NONE,NA,NA
1,NORTH RIVER,NA,NA
1,PEARL,1,53
1,PIER 3,NA,NA
1,PIER 4,NA,NA
1,PIERS,NA,NA
1,SOUTH,NA,NA
1,STATE,NA,NA
1,STONE,1,23
1,WATER,1,22
1,WHITEHALL,NA,NA
2,BEDLOES ISLAND,NA,NA
2,GOVERNORS ISLAND,NA,NA
3,ALBANY,1,28
3,BROADWAY,128,147
3,CEDAR,91,159
3,GREENWICH,122,155
3,LIBERTY,77,150
3,LIBERTY BRG,NA,NA
3,NORTH RIVER,NA,NA
3,TEMPLE,NA,NA
3,TRINITY PL,103,115
3,WASHINGTON,132,154
3,WEST,NA,NA
4,ALBANY,1,28
4,BROADWAY,75,126
4,CARLISLE,1,17
4,CEDAR,91,127
4,GREENWICH,91,139
4,NORTH RIVER,NA,NA
4,NULL,NA,NA
4,RECTOR,NA,NA
4,THAMES,1,30
4,TRINITY PL,NA,NA
4,WASHINGTON,94,131
4,WEST,NA,NA
5,BATTERY PL,NA,NA
5,BROADWAY,28,78
5,EDGAR,NA,NA
5,EXCHANGE ALY,NA,NA
5,GREENWICH,42,92
5,MORRIS,1,27
5,NORTH RIVER,NA,NA
5,RECTOR,NA,NA
5,TRINITY PL,1,53
5,WASHINGTON,1,97
5,WEST,NA,NA
6,BATTERY PL,NA,NA
6,BOWLING GREEN,NA,NA
6,BOWLING GREEN PARK,NA,NA
6,BROADWAY,NA,NA
6,GREENWICH,1,40
6,MORRIS,1,15
6,WASHINGTON,1,39
7,BEAVER,1,95
7,BROAD,1,66
7,BROADWAY,NA,NA
7,CEDAR,1,90
7,EXCHANGE CT,NA,NA
7,EXCHANGE PL,15,77
7,HANOVER,NA,NA
7,LIBERTY,2,712
7,MAIDEN LA,NA,NA
7,MAIDEN LN,88,112
7,NASSAU,NA,NA
7,NEW,1,85
7,PEARL,NA,NA
7,PINE,1,77
7,S WILLIAM,NA,NA
7,WALL,1,77
7,WHITEHALL,NA,NA
7,WILLIAM,8,78
8,BEAVER,32,95
8,BROAD,NA,NA
8,COENTIES ALY,NA,NA
8,COENTIES SLIP,NA,NA
8,HANOVER,NA,NA
8,HANOVER SQ,1,2
8,MAIDEN LA,NA,NA
8,MAIDEN LN,113,134
8,MILL LN,NA,NA
8,NULL,NA,NA
8,OLD SLIP,1,NA
8,PEARL,NA,NA
8,PINE,78,84
8,S WILLIAM,1,45
8,STONE,42,71
8,WALL,78,89
8,WATER,NA,NA
8,WILLIAM,1,7
9,BROAD,107,142
9,COENTIES SLIP,NA,NA
9,CUYLERS ALY,NA,NA
9,DE PEYSTER,13,38
9,DEPEYSTER,1,12
9,EAST RIVER,NA,NA
9,FRONT,NA,NA
9,GOUVERNEUR LN,NA,NA
9,JEANNETTE PARK,NA,NA
9,JONES LA,NA,NA
9,JONES LN,1,7
9,MAIDEN LA,NA,NA
9,MAIDEN LN,135,170
9,NULL,NA,NA
9,OLD SLIP,NA,NA
9,PIER 14,NA,NA
9,PIER 4,NA,NA
9,PIERS,NA,NA
9,PINE,85,101
9,SOUTH,NA,NA
9,WALL,90,120
9,WATER,NA,NA
10,ANN,1,92
10,BEEKMAN,1,61
10,BROADWAY,NA,NA
10,DUTCH,1,19
10,FULTON,80,169
10,GOLD,1,81
10,JOHN,1,89
10,LIBERTY,2,712
10,LIBERTY PL,1,12
10,MAIDEN LA,NA,NA
10,MAIDEN LN,1,87
10,NASSAU,41,152
10,PARK ROW,NA,NA
10,PLATT,24,42
10,SPRUCE,NA,NA
10,THEATRE ALY,NA,NA
10,WILLIAM,79,185
11,90,103,NA
11,BEEKMAN,NA,NA
11,BURLING SLIP,NA,NA
11,CLIFF,1,72
11,EAST RIVER,NA,NA
11,FERRY,NA,55
11,FLETCHER,1,46
11,FRONT,NA,NA
11,FULTON,1,79
11,FULTON FISH MARKET,NA,NA
11,FULTON MARKET,NA,NA
11,GOLD,1,86
11,JOHN,1,126
11,MAIDEN LA,NA,NA
11,MAIDEN LN,88,170
11,PEARL,200,312
11,PECK SLIP,NA,NA
11,PIER 14,NA,NA
11,PIERS,NA,NA
11,PLATT,1,23
11,RYDERS ALY,NA,NA
11,SOUTH,NA,NA
11,WATER,154,258
12,BARCLAY,1,55
12,BROADWAY,NA,NA
12,CHAMBERS,71,132
12,CHURCH,1,NA
12,CORTLANDT,1,26
12,CORTLANDT WAY,27,55
12,DEY,1,58
12,FULTON,NA,NA
12,GREENWICH,148,213
12,LIBERTY,77,124
12,MURRAY,1,62
12,PARK PL,1,58
12,READE,56,113
12,VESEY,NA,NA
12,W BROADWAY,NA,NA
12,WARREN,1,62
13,BARCLAY,58,111
13,BISHOP LN,NA,NA
13,CHAMBERS,135,206
13,CORTLANDT,56,92
13,DEY,59,88
13,DUANE,213,220
13,FULTON,NA,NA
13,GREENWICH,148,NA
13,HUDSON,NA,NA
13,LIBERTY,125,150
