XCoord,YCoord,OBJECTID,BK_STREET1910_FULL_STREE,BK_STREET1910_Y1910NAMESTREET,BK_STREET1910_Y1910LEFT_LOW,BK_STREET1910_Y1910LEFT_HIGH,BK_STREET1910_Y1910RIGHT_LOW,BK_STREET1910_Y1910RIGHT_HIGH,BK_STREET1910_JOINID,BK_STREET1910_Y1910NAMEALT,BK_STREET1910_MINUS_ED_ED,BK_STREET1910_PLUS_ED_ED
989570.94255262,189565.25272420,1,SCHERMERHORN ST,NULL,317,363,316,368,G00000001,NULL,22,30
996859.76774747,192812.15920894,2,WALWORTH ST,NULL,73,119,80,124,G00000002,NULL,478,478
981620.55954485,171462.31837852,3,58 ST,NULL,701,775,702,772,G00000003,NULL,1094,1094
992547.79966539,167587.07268415,4,I AVE,NULL,601,621,602,622,G00000004,NULL,1030,1030
995599.84258385,163583.81112379,5,AVE N,NULL,NULL,NULL,NULL,NULL,G00000005,NULL,1009,1007
992278.56152276,155182.24874056,6,AVE W,NULL,NULL,NULL,NULL,NULL,G00000006,NULL,1037,1037
1014049.04549720,184261.46655834,7,PITKIN AVE,NULL,2153,2173,2154,2176,G00000007,NULL,782,783
1002022.47359039,157875.19933955,8,BRAGG ST,NULL,NULL,NULL,NULL,NULL,G00000008,NULL,1005,1005
985251.35426217,156203.11673639,9,CROPSEY AVE,NULL,NULL,NULL,NULL,NULL,G00000009,NULL,1050,1050
989900.97293805,159739.94287319,10,KINGSHIGWY,NULL,NULL,NULL,284,302,G00000011,NULL,1031,1031
1004928.18960272,181449.22458576,11,E  96 ST,NULL,NULL,NULL,NULL,NULL,G00000012,NULL,955,955
1002388.40334372,164741.26308706,12,P AVE,NULL,NULL,NULL,NULL,NULL,G00000013,NULL,1001,1001
1010751.28146701,171852.01658206,13,J AVE,NULL,8901,8917,8902,8918,G00000016,NULL,990,989
1012150.03178631,183649.17261369,14,WILLIAMS AVE,NULL,NULL,NULL,NULL,NULL,G00000018,NULL,750,750
1007260.45691980,191489.25503060,15,WOODBINE ST,NULL,97,149,98,150,G00000019,NULL,888,896
1003484.66903176,204363.04309531,16,SCOTT AVE,NULL,NULL,NULL,NULL,NULL,G00000027,NULL,409,409
989456.73809817,172559.22120439,17,36 ST,NULL,1401,1485,1400,1484,G00000028,NULL,1064,1064
981407.47243417,175617.13670848,18,46 ST,NULL,NULL,NULL,NULL,NULL,G00000029,NULL,143,144
1017639.61070213,182556.82916189,19,NEW LOTS AVE,NULL,833,857,832,858,G00000031,NULL,810,810
992927.06104597,194042.94742977,20,ASSEMBLY RD,NULL,NULL,NULL,NULL,NULL,G00000034,NULL,432,432
996137.32660705,161721.96318735,21,P AVE,NULL,1601,1613,NULL,NULL,G00000035,NULL,1007,1007
998483.15196789,199714.31059489,22,CONSELYEA ST,NULL,47,81,50,84,G00000038,NULL,302,302
995128.82632747,160272.79138098,23,E  12 ST,NULL,1721,1789,1722,1788,G00000040,NULL,1007,1007
1007643.34329314,163067.54268122,24,AVE U,NULL,NULL,NULL,NULL,NULL,G00000044,NULL,1001,1001
1006215.81005897,193788.54013018,25,MYRTLE AVE,NULL,1383,1409,1356,1382,G00000045,NULL,854,857
1004455.88100009,197045.37400365,26,VARICK AVE,NULL,39,53,30,50,G00000046,NULL,416,416
985266.60556639,168904.72916956,27,57 ST,NULL,1301,1329,1302,1332,G00000047,NULL,1062,1062
1017863.70043333,186878.94029053,28,ATLANTIC AVE,NULL,NULL,NULL,NULL,NULL,G00000048,NULL,973,974
981585.40082251,160043.86631390,29,BATH AVE,NULL,1627,1647,1628,1646,G00000051,NULL,1075,1075
1006478.43518989,180659.06015561,30,DUMONT AVE,NULL,1,9,2,10,G00000054,NULL,959,959
1009741.52807314,192204.11432923,31,WEIRFIELD ST,NULL,296,357,270,338,G00000055,NULL,908,908
1004021.19354926,177805.37541023,32,E  52 ST,NULL,251,255,262,262,G00000057,NULL,952,952
990744.69500389,181521.90160577,33,PROSPECT  W,NULL,NULL,NULL,130,139,G00000059,NULL,NULL,570
1012396.96862838,184416.82675423,34,GLENMORE AVE,NULL,317,339,320,342,G00000060,NULL,749,749
992056.40661930,185238.72307631,35,EIGHTH AVE,NULL,NULL,NULL,8,26,G00000062,NULL,191,191
1004618.38707272,193904.45213589,36,CENTRAL AVE,NULL,161,167,170,176,G00000066,NULL,831,833
988829.78758043,187456.27113464,37,3 AVE,NULL,151,163,156,170,G00000070,NULL,207,205
999510.33117992,186800.02950093,38,HERKIMER ST,NULL,223,279,220,276,G00000072,NULL,605,605
984563.82954808,184954.64503143,39,GARNET ST,NULL,21,59,18,54,G00000074,NULL,258,258
994624.75950305,154339.85071469,40,E  SEVENTH ST,NULL,NULL,NULL,NULL,NULL,G00000082,NULL,1037,1037
990398.62597818,178815.64569940,41,SHERMAN ST,NULL,1,69,2,70,G00000086,NULL,573,573
996233.99428098,186821.82337902,42,ATLANTIC AVE,NULL,NULL,NULL,1062,1144,G00000088,NULL,113,169
977869.55704030,169631.46820164,43,72 ST,NULL,415,475,416,476,G00000089,NULL,1097,1097
1000431.66151944,200608.73809144,44,OLD   WOOD POINT RD,NULL,NULL,NULL,NULL,NULL,G00000090,NULL,410,410
1003797.68841885,193460.70942102,45,SUYDAM ST,NULL,NULL,NULL,NULL,NULL,G00000092,NULL,819,821
986707.55412806,169090.85904664,46,53 ST,NULL,1401,1483,1402,1482,G00000094,NULL,1062,1062
983410.42653597,160599.10962598,47,86 ST,NULL,NULL,NULL,NULL,NULL,G00000095,NULL,1056,1056
999947.23368538,197380.08954156,48,GRAHAM AVE,NULL,179,193,184,200,G00000096,NULL,332,336
997513.79531081,172120.07870998,49,E  26 ST,NULL,447,475,448,480,G00000097,NULL,1012,1012
979306.15896200,172969.28154524,50,59 ST,NULL,NULL,NULL,NULL,NULL,G00000102,NULL,160,160
999532.49206080,198790.73468614,51,POWERS ST,NULL,127,163,128,174,G00000103,NULL,314,318
1015970.61469630,172872.19482385,52,FLATLANDS 7 ST,NULL,NULL,NULL,NULL,NULL,G00000105,NULL,988,988
985646.10119847,193261.10007614,53,HICKS ST,NULL,123,175,124,NULL,G00000107,NULL,4,4
1003153.45742384,171886.91119731,54,SCHNECTADY AVE,NULL,NULL,NULL,NULL,NULL,G00000109,NULL,995,995
994341.34430664,185941.22659256,55,WASHINGTON AVE,NULL,661,689,688,716,G00000110,NULL,181,180
997356.68765535,156125.47519618,56,E  18 ST,NULL,2253,2295,2258,2296,G00000114,NULL,1407,1407
1002012.25000412,189767.03434693,57,LEWIS AVE,NULL,243,259,246,258,G00000115,NULL,597,592
1003864.67663789,168110.02931539,58,J AVE,NULL,4801,4823,4802,4824,G00000117,NULL,999,999
1002364.30857564,178182.57117815,59,E  46 ST,NULL,233,279,234,280,G00000118,NULL,951,945
997720.34181372,204336.98491252,60,MESEROLE AVE,NULL,129,143,122,136,G00000120,NULL,378,378
1007943.91683897,185999.86820756,61,RADDE PL,NULL,1,33,2,34,G00000121,NULL,711,711
1003687.01239626,169811.20578332,62,H AVE,NULL,4801,4815,4802,4816,G00000123,NULL,999,999
981881.79770347,172418.36059372,63,SEVENTH AVE,NULL,5401,5425,5402,5424,G00000124,NULL,1093,156
1004627.37655605,178608.08213814,64,CLARKSON AVE,NULL,NULL,NULL,NULL,NULL,G00000125,NULL,954,953
1008237.57602856,181005.04420772,65,DUMONT AVE,NULL,155,179,156,180,G00000130,NULL,963,963
975332.42464739,165475.53163164,66,3 AVE,NULL,8916,9001,8924,NULL,G00000131,NULL,1081,1081
989399.67128318,155851.18112972,67,86 ST,NULL,NULL,NULL,NULL,NULL,G00000132,NULL,1038,1038
1001665.38461260,159246.06443181,68,GERRITSEN AVE,NULL,2045,2083,2046,2084,G00000136,NULL,1001,1005
989336.86809514,159937.70494486,69,AVENUE Q,NULL,121,141,122,142,G00000137,NULL,1031,1031
1010764.73780493,168721.73576915,70,AVE M,NULL,NULL,NULL,NULL,NULL,G00000141,NULL,989,989
981898.84491348,163648.89978623,71,14 AVE,NULL,8001,8023,8002,8024,G00000142,NULL,1074,1078
1014444.82476889,169488.92599986,72,CANARSIE RD,NULL,NULL,NULL,NULL,NULL,G00000143,NULL,988,989
992433.15783431,171572.86687789,73,E  8 ST,NULL,455,535,456,542,G00000147,NULL,1023,1023
997693.65059414,174923.38478314,74,TILDEN AVE,NULL,2705,2715,2710,2730,G00000148,NULL,993,1404
983564.65047292,188285.86265131,75,PRESIDENT ST,NULL,87,129,90,134,G00000150,NULL,70,71
989493.56873318,184625.34864689,76,FIRST ST,NULL,333,383,314,370,G00000151,NULL,533,536
997813.17463331,167460.90659790,77,J AVE,NULL,NULL,NULL,NULL,NULL,G00000152,NULL,1008,1008
1020222.88965630,187172.21822506,78,WELDON ST,NULL,119,155,118,160,G00000153,NULL,971,975
996791.53953747,195242.49211072,79,HEYWARD ST,NULL,139,191,120,180,G00000154,NULL,440,445
990866.52218806,177225.98516481,80,PROSPECT AVE,NULL,1213,1237,1214,1246,G00000155,NULL,920,920
979564.27149864,173258.90681289,81,FOURTH AVE,NULL,5701,5721,NULL,NULL,G00000156,NULL,159,159
986497.83834013,166242.61507122,82,62 ST,NULL,1601,1679,1602,NULL,G00000159,NULL,1059,1059
986892.21911305,161017.55039014,83,21 AVE,NULL,7601,7623,7602,7622,G00000169,NULL,1057,1057
985911.14660013,189307.94558089,84,COURT ST,NULL,225,229,222,230,G00000170,NULL,198,58
1004930.82575230,163567.40405027,85,E  51 ST,NULL,NULL,NULL,NULL,NULL,G00000172,NULL,1001,1001
996636.16266997,155518.80797741,86,E  15 ST,NULL,2279,2375,2280,2376,G00000173,NULL,1407,1407
1014237.60323451,172258.23132081,87,E  100 ST,NULL,1201,1279,1202,1280,G00000175,NULL,988,988
994449.73483788,185345.66692410,88,GRAND AVE,NULL,NULL,NULL,NULL,NULL,G00000176,NULL,193,192
997535.09940206,202816.74008556,89,NASSAU AVE,NULL,51,65,NULL,NULL,G00000179,NULL,386,386
1002361.74476843,199071.30006990,90,MORGAN AVE,NULL,NULL,NULL,NULL,NULL,G00000181,NULL,417,416
985851.27631305,166754.71214414,91,62 ST,NULL,1501,1579,1502,1580,G00000182,NULL,1059,1059
1003347.41195864,169518.48608738,92,SCHNECTADY AVE,NULL,NULL,NULL,NULL,NULL,G00000188,NULL,999,999
1005575.03000851,198205.73421573,93,SCOTT AVE,NULL,NULL,NULL,NULL,NULL,G00000189,NULL,416,416
991925.40917788,156808.21333639,94,AVE U,NULL,NULL,NULL,300,322,G00000191,NULL,1037,1037
1002789.41267902,171427.92957207,95,FARRAGUT RD,NULL,NULL,NULL,NULL,NULL,G00000192,NULL,995,995
999405.59926997,179765.19760606,96,BKLYN AVE,NULL,569,591,570,592,G00000196,NULL,941,940
1021360.93839726,187264.81318422,97,MC KINLEY AVE,NULL,NULL,NULL,NULL,NULL,G00000197,NULL,971,976
999470.56633164,187078.43724465,98,FULTON ST,NULL,1373,1434,1360,1420,G00000198,NULL,608,605
991653.39233348,176396.36953402,99,OCEAN PKWY,NULL,NULL,NULL,NULL,NULL,G00000200,NULL,921,921
1009517.74800888,173518.75537456,100,REMSEN AVE,NULL,NULL,NULL,NULL,NULL,G00000201,NULL,987,990
1000922.82048093,201874.18307960,101,DEBEVOISE AVE,NULL,NULL,NULL,NULL,NULL,G00000202,NULL,408,409
1008033.73949397,187676.85796382,102,THOMAS BOYLAND ST,HOPKINSON AVE,91,109,90,104,G00000207,NULL,716,716
997784.18683039,172131.69105551,103,ROGERS AVE,NULL,1233,1263,1236,1264,G00000208,NULL,1405,1012
987825.74578930,173833.89401594,104,36 ST,NULL,NULL,NULL,NULL,NULL,G00000209,NULL,923,923
1013734.60879695,174901.53943840,105,E  105 ST,NULL,901,985,902,986,G00000213,NULL,988,988
1008179.05416397,176529.31989148,106,B AVE,NULL,NULL,NULL,NULL,NULL,G00000214,NULL,987,987
979974.07382864,185615.53170589,107,VANDYKE ST,NULL,142,174,141,175,G00000215,NULL,240,240
1021136.22772464,183805.28122535,108,AUTUMN AVE,NULL,687,745,688,746,G00000217,NULL,981,980
1013089.17049201,185804.19274589,109,NEWJERSEY AVE,NULL,107,165,114,164,G00000218,NULL,759,753
1009988.27462689,184800.30236523,110,E  NEW YORK AVE,NULL,381,391,1644,1656,G00000221,NULL,643,745
997758.07139705,185627.35911006,111,BERGEN ST,NULL,1023,1087,1016,1086,G00000223,NULL,623,624
988626.96121443,158489.35826807,112,W  12 ST,NULL,1801,1893,1802,1888,G00000227,NULL,1031,1031
988100.00705180,171475.31769636,113,14 AVE,NULL,4201,4223,4202,4224,G00000228,NULL,1063,1063
989066.14471927,187917.21575081,114,3 AVE,NULL,121,133,120,138,G00000230,NULL,206,205
997457.67206347,201038.98199410,115,UNION AVE,NULL,NULL,NULL,302,318,G00000232,NULL,289,297
993784.25634602,193127.94647106,116,RYERSON WALK,NULL,1,57,NULL,NULL,G00000234,NULL,83,81
1004364.90841301,186253.87688589,117,ROCHESTER AVE,NULL,21,53,22,54,G00000235,NULL,705,704
992841.66390705,164516.63755206,118,OCEAN PKWY,NULL,1201,1295,NULL,NULL,G00000236,NULL,1030,1030
989299.99480931,191331.16479560,119,FLEET PL,NULL,0,0,0,0,G00000237,NULL,232,229
999920.64581206,190132.88979714,120,LEXINGTON AVE,NULL,433,495,410,468,G00000238,NULL,583,585
987164.82550856,190481.12437577,121,STATE ST,NULL,221,257,246,280,G00000242,NULL,23,23
995660.35905706,158632.53088198,122,E  13 ST,NULL,1901,1983,1902,1984,G00000244,NULL,1006,1006
995185.03494001,179680.30910418,123,FLATBUSH AVE,NULL,559,579,556,576,G00000245,NULL,931,931
989880.67114139,177427.50543106,124,20 ST,NULL,607,625,606,612,G00000247,NULL,919,919
1014896.65851089,171282.54249135,125,AVE N,NULL,NULL,NULL,NULL,NULL,G00000255,NULL,988,988
987372.94649806,163507.06624443,126,68 ST,NULL,1901,1985,1902,1986,G00000256,NULL,1058,1057
1002605.21524605,183209.49321090,127,SCHNECTADY AVE,NULL,255,273,NULL,NULL,G00000261,NULL,662,662
1004519.24028938,161432.79053735,128,T AVE,NULL,3901,3923,3902,3924,G00000262,NULL,1001,1001
