ED,Name,ObjectID,JoinId,Full_Name,Name1910,AltName,Left_Low,Left_High,Right_Low,Right_High,source,st_type
1,COLUMBIA HTS,8186,G00016539,COLUMBIA HTS,NULL,NULL,11,19,12,20,Morse geo,HTS
1,COLUMBIA HTS,16236,G00004966,COLUMBIA HTS,NULL,NULL,43,59,44,76,Morse geo,HTS
1,COLUMBIA HTS,16238,G00004966,COLUMBIA HTS,NULL,NULL,21,41,22,42,Morse geo,HTS
2,COLUMBIA HTS,13088,G00026649,COLUMBIA HTS,NULL,NULL,61,77,78,90,Morse geo,HTS
3,COLUMBIA HTS,7211,G00014559,COLUMBIA HTS,NULL,NULL,99,115,118,136,Morse geo,HTS
3,COLUMBIA HTS,8425,G00017046,COLUMBIA HTS,NULL,NULL,79,97,92,116,Morse geo,HTS
4,CLARK,7986,G00016134,CLARK,NULL,NULL,1,15,2,16,Morse geo,ST
4,CLARK,14807,G00030234,CLARK,NULL,NULL,17,37,18,38,Morse geo,ST
4,CLARK,10573,G00021416,CLARK,NULL,NULL,39,79,40,80,Morse geo,ST
5,CLARK,5656,G00011468,CLARK,NULL,NULL,101,117,102,118,Morse geo,ST
5,CLARK,13039,G00026554,CLARK,NULL,NULL,81,99,82,100,Morse geo,ST
5,CLARK,10573,G00021416,CLARK,NULL,NULL,39,79,40,80,Morse geo,ST
6,EAST RIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse,ST
7,CLINTON,130,G00000265,CLINTON,NULL,NULL,49,65,58,76,Morse geo,ST
7,CLINTON,2312,G00004623,CLINTON,NULL,NULL,87,107,98,122,Morse geo,ST
7,CLINTON,8544,G00017294,CLINTON,NULL,NULL,67,85,78,96,Morse geo,ST
8,ATLANTIC AVE,20029,NULL,NULL,ATLANTIC AVE,NULL,NA,NA,NA,NA,Morse geo,AVE
9,COLUMBIA PL,16300,G00007563,COLUMBIA PL,NULL,NULL,1,55,2,52,Morse geo,PL
10,ATLANTIC AVE,1817,G00003627,ATLANTIC AVE,NULL,NULL,17,29,2,18,Morse geo,AVE
10,ATLANTIC AVE,10481,G00021247,ATLANTIC AVE,NULL,NULL,77,119,72,110,Morse geo,AVE
10,ATLANTIC AVE,16301,G00006477,ATLANTIC AVE,NULL,NULL,55,75,48,70,Morse geo,AVE
10,ATLANTIC AVE,16302,G00006477,ATLANTIC AVE,NULL,NULL,31,35,20,22,Morse geo,AVE
