street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
PARK PL,PARK PL,NA,30,58,29,57,12,12,1,G00010001,PARK PL
NA,EAST,NA,NA,NA,NA,NA,939,939,159,G00010159,EAST
NA,EAST,NA,NA,NA,NA,NA,939,939,160,G00010160,EAST
NA,NA,NA,NA,NA,NA,NA,511,511,257,G00010257,NA
STONE,STONE,NA,63,71,62,68,8,8,267,G00000001,STONE
GOLD,GOLD,NA,19,25,20,24,10,11,268,G00000002,GOLD
E 109,E 109,NA,1,27,2,28,458,458,269,G00000003,E 109
8 AVE,8 AVE,NA,383,401,380,398,1220,1185,270,G00000004,8 AVE
E 61,E 61,NA,401,445,400,444,1001,1001,271,G00000005,E 61
GREENWICH,GREENWICH,NA,752,770,753,769,142,142,272,G00000006,GREENWICH
3 AVE,3 AVE,NA,1230,1248,1231,1249,1146,1059,273,G00000007,3 AVE
W 104,W 104,NA,NA,NA,NA,NA,735,733,274,G00000008,W 104
7 AVE,7 AVE,NA,118,132,119,133,833,828,275,G00000009,7 AVE
PARK AVE,PARK AVE,NA,818,834,NA,NA,1159,1159,276,G00000010,PARK AVE
COLUMBUS AVE,COLUMBUS AVE,NA,NA,NA,NA,NA,1314,1316,277,G00000011,COLUMBUS AVE
4 AVE,4 AVE,NA,74,92,75,91,823,938,278,G00000012,4 AVE
BROADWAY,BROADWAY,NA,NA,NA,2598,2618,737,736,279,G00000013,BROADWAY
CLAREMONT AVE,CLAREMONT AVE,NA,71,109,72,110,724,724,280,G00000014,CLAREMONT AVE
WALL,WALL,NA,8,20,9,21,7,7,281,G00000015,WALL
FRAWLEY CIR,FRAWLEY CIR,NA,NA,NA,NA,NA,457,457,282,G00000016,FRAWLEY CIR
NORFOLK,NORFOLK,NA,69,91,68,88,219,753,283,G00000017,NORFOLK
E HOUSTON,E HOUSTON,NA,488,508,489,509,230,225,284,G00000018,E HOUSTON
LEXINGTON AVE,LEXINGTON AVE,NA,436,454,437,457,498,498,285,G00000019,LEXINGTON AVE
W 84,W 84,NA,300,358,301,359,1395,1394,286,G00000020,W 84
BLEECKER,BLEECKER,NA,404,414,403,417,166,166,287,G00000021,BLEECKER
LEROY,LEROY,NA,38,66,39,57,132,131,288,G00000022,LEROY
W 188,W 188,NA,NA,NA,NA,NA,676,676,289,G00000023,W 188
W 163,W 163,NA,NA,NA,NA,NA,686,686,290,G00000024,W 163
COLUMBUS AVE,COLUMBUS AVE,NA,996,1014,997,1015,620,619,291,G00000025,COLUMBUS AVE
LENOX AVE,LENOX AVE,6 AVE,21,37,20,30,578,507,292,G00000026,LENOX AVE
3 AVE,3 AVE,NA,2200,2224,2201,2221,419,315,293,G00000028,3 AVE
GRAND,GRAND,NA,164,172,165,171,792,792,294,G00000029,GRAND
E 102,E 102,NA,101,131,100,128,399,398,295,G00000030,E 102
THAYER,THAYER,NA,NA,NA,NA,NA,675,675,296,G00000031,THAYER
BROADWAY,BROADWAY,NA,1709,1727,1706,1728,1289,1289,297,G00000033,BROADWAY
W 138,W 138,NA,NA,NA,NA,NA,709,705,298,G00000034,W 138
E 13,E 13,NA,35,57,36,58,823,823,299,G00000035,E 13
MADISON AVE,MADISON AVE,NA,1250,1274,1249,1271,481,481,300,G00000036,MADISON AVE
RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,338,346,731,731,301,G00000037,RIVERSIDE DR
BROADWAY,BROADWAY,NA,3881,3899,NA,NA,686,688,302,G00000038,BROADWAY
E 86,E 86,NA,101,131,100,130,378,383,303,G00000039,E 86
W 25,W 25,NA,400,466,401,463,850,849,304,G00000040,W 25
W 228,W 228,NA,NA,NA,NA,NA,NA,NA,305,G00000041,W 228
MC KENNA SQ,AUDUBON AVE,NA,NA,NA,1,3,685,685,306,G00000042,AUDUBON AVE
BROADWAY,BROADWAY,NA,NA,NA,NA,NA,725,725,307,G00000043,BROADWAY
LEX AVE,LEXINGTON AVE,NA,1250,1262,1239,1257,383,384,308,G00000044,LEXINGTON AVE
BROADWAY ALY,BROADWAY ALY,NA,NA,NA,NA,NA,987,987,309,G00000045,BROADWAY ALY
W 34,W 34,NA,100,170,101,171,1190,1192,310,G00000046,W 34
AMSTERDAM AVE,AMSTERDAM AVE,NA,1738,1756,1739,1757,699,659,311,G00000047,AMSTERDAM AVE
LAFAYETTE CT,LAFAYETTE CT,NA,NA,NA,NA,NA,938,938,312,G00000048,LAFAYETTE CT
BROADWAY,BROADWAY,NA,NA,NA,2500,2516,742,742,313,G00000049,BROADWAY
MULBERRY,MULBERRY,NA,297,315,296,314,819,819,314,G00000050,MULBERRY
W 147,W 147,NA,NA,NA,NA,NA,513,513,315,G00000051,W 147
ELDRIDGE,ELDRIDGE,NA,151,187,150,186,206,207,316,G00000052,ELDRIDGE
E 46,E 46,NA,301,353,300,350,1103,1104,317,G00000053,E 46
BEDFORD,BEDFORT,NA,31,37,24,30,134,134,318,G00000054,BEDFORT
W 162,W 162,NA,500,566,501,565,689,688,319,G00000055,W 162
W 115,W 115,NA,100,130,101,141,571,570,320,G00000056,W 115
3 AVE,3 AVE,NA,1770,1784,1767,1783,394,354,321,G00000057,3 AVE
MADISON AVE,MADISON AVE,NA,452,460,447,457,1167,505,322,G00000058,MADISON AVE
W 30,W 30,NA,100,160,101,159,1184,1189,323,G00000059,W 30
W 81,W 81,NA,100,180,101,175,1298,1298,324,G00000060,W 81
ADAM POWELL BLVD,7 AVE,NA,NA,NA,2201,2219,543,542,325,G00000061,7 AVE
AUDUBON AVE,AUDUBON AVE,NA,138,158,137,159,683,683,326,G00000062,AUDUBON AVE
E 88,E 88,NA,137,177,150,184,379,385,327,G00000063,E 88
STATE,STATE,NA,NA,NA,1,21,1,1,328,G00000064,STATE
ACADEMY,ACADEMY,NA,NA,NA,NA,NA,674,674,329,G00000065,ACADEMY
LEX AVE,LEXINGTON AVE,NA,1634,1648,1631,1647,399,401,330,G00000066,LEXINGTON AVE
MADISON AVE BRG APPROACH,MADISON AVE BRG,NA,NA,NA,NA,NA,NA,NA,331,G00000067,MADISON AVE BRG
FULTON,FULTON,NA,22,24,19,23,11,11,332,G00000068,FULTON
W 204,W 204,NA,NA,NA,NA,NA,674,674,333,G00000069,W 204
HOWARD,HOWARD,NA,1,9,2,10,785,785,334,G00000070,HOWARD
E 84,E 84,NA,1,37,2,36,484,1155,335,G00000071,E 84
LEWIS,LEWIS,NA,21,33,22,34,780,779,336,G00000072,LEWIS
3 AVE,3 AVE,NA,1066,1084,1071,1089,1140,1073,337,G00000073,3 AVE
UNION W SQ,UNION W SQ,NA,1,13,NA,NA,551,551,338,G00000074,UNION W SQ
2 AVE,2 AVE,NA,69,85,72,86,906,903,339,G00000075,2 AVE
W 30,W 30,NA,500,564,501,569,1227,1232,340,G00000076,W 30
W 120,W 120,NA,500,550,501,551,725,724,341,G00000077,W 120
W 4,W 4,NA,2,12,1,11,818,818,342,G00000078,W 4
E 72,E 72,NA,501,541,500,538,1018,1018,343,G00000079,E 72
SAINT NICHOLAS AVE,NICHOLAS AVE,NA,1501,1513,1500,1512,678,677,344,G00000080,NICHOLAS AVE
1 AVE,1 AVE,NA,393,409,394,408,966,953,345,G00000081,1 AVE
W 10,W 10,NA,154,182,155,185,156,156,346,G00000082,W 10
MADISON AVE,MADISON AVE,NA,1768,1786,1769,1781,446,447,347,G00000083,MADISON AVE
5 AVE,5 AVE,NA,NA,NA,1150,1159,507,477,348,G00000084,5 AVE
W 4,W 4,NA,218,230,219,231,155,156,349,G00000085,W 4
W 132,W 132,NA,NA,NA,NA,NA,542,539,350,G00000086,W 132
W 49,W 49,NA,2,74,1,75,1177,1178,351,G00000087,W 49
BETHUNE,BETHUNE,NA,14,48,11,45,176,176,352,G00000088,BETHUNE
RIVINGTON,RIVINGTON,NA,268,288,269,289,221,766,353,G00000089,RIVINGTON
