street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,JoinID,Name
SCHERMERHORN,SCHERMERHORN,NA,317,363,316,368,22,30,G00000001,SCHERMERHORN
WALWORTH,WALWORTH,NA,73,119,80,124,478,478,G00000002,WALWORTH
58,58,NA,701,783,700,772,1094,1094,G00000003,58
I AVE,I AVE,NA,601,621,600,622,1030,1030,G00000004,I AVE
N AVE,N AVE,NA,NA,NA,NA,NA,1009,1007,G00000005,N AVE
W AVE,W AVE,NA,NA,NA,NA,NA,1037,1037,G00000006,W AVE
PITKIN AVE,PITKIN AVE,NA,2153,2173,2154,2176,782,783,G00000007,PITKIN AVE
BRAGG,BRAGG,NA,NA,NA,NA,NA,1005,1005,G00000008,BRAGG
CROPSEY AVE,CROPSEY AVE,NA,2301,2335,NA,NA,1050,1050,G00000009,CROPSEY AVE
KINGS HWY,KINGSHIGWY,NA,NA,NA,284,302,1031,1031,G00000010,KINGSHIGWY
E 96,E 96,NA,NA,NA,NA,NA,955,955,G00000011,E 96
P AVE,P AVE,NA,4103,4115,4102,4124,1001,1001,G00000012,P AVE
J AVE,J AVE,NA,8901,8917,8900,8918,990,989,G00000013,J AVE
WILLIAMS AVE,WILLIAMS AVE,NA,NA,NA,NA,NA,750,750,G00000014,WILLIAMS AVE
WOODBINE,WOODBINE,NA,97,149,98,150,888,896,G00000015,WOODBINE
SCOTT AVE,SCOTT AVE,NA,NA,NA,NA,NA,409,409,G00000016,SCOTT AVE
36,36,NA,1401,1485,1400,1484,1064,1064,G00000017,36
46,46,NA,NA,NA,NA,NA,143,144,G00000018,46
NEW LOTS AVE,NEW LOTS AVE,NA,833,857,832,858,810,810,G00000019,NEW LOTS AVE
ASSEMBLY RD,ASSEMBLY RD,NA,NA,NA,NA,NA,432,432,G00000020,ASSEMBLY RD
P AVE,P AVE,NA,1601,1613,NA,NA,1007,1007,G00000021,P AVE
CONSELYEA,CONSELYEA,NA,47,81,50,84,302,302,G00000022,CONSELYEA
E 12,E 12,NA,1721,1789,1720,1788,1007,1007,G00000023,E 12
U AVE,U AVE,NA,NA,NA,NA,NA,1001,1001,G00000024,U AVE
MYRTLE AVE,MYRTLE AVE,NA,1383,1409,1356,1382,854,857,G00000025,MYRTLE AVE
