ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street1.y,Street2.y,Street3.y,Street4.y,Street5.y,Street6.y,Street7.y,Street8.y,Street9.y,Street10.y,Street11.y,Street12.y,Street13.y,Street14.y,Street15.y,Street16.y,Street17.y,Street18.y,Street19.y,Street20.y,Street21.y,Street22.y,Street23.y,Street24.y,Street25.y,Street26.y,Street27.y,Street28.y,Street29.y,Street30.y,Street31.y,Street32.y,Street33.y,Street34.y,Street35.y,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66
1,BATTERY PARK,BATTERY PLACE,BEAVER,BRIDGE,BROAD,BROADWAY,EAST RIVER,ELLIS ISLAND,FRONT,MARKETFIELD,MOORE,NORTH RIVER,PEARL,PIER 3,PIER 4,PIERS,SOUTH,STATE,STONE,WATER,WHITEHALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRIDGE,BROADWAY,FRONT,MARKETFIELD,MOORE,NEW,NONE,PEARL,SOUTH,STATE,STONE,WATER,WHITEHALL,BATTERY PLACE,BEAVER,BROAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,BEDLOE\'SOUTH ISLAND,GOVERNORS ISLAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ALBANY,BROADWAY,CEDAR,GREENWICH,LIBERTY,NORTH RIVER,TEMPLE,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY,CEDAR,GREENWICH,LIBERTY,LIBERTY ST BRIDGE,TEMPLE,TRINITY PLACE,WASHINGTON,WEST,ALBANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ALBANY,BROADWAY,CARLISLE,CEDAR,GREENWICH,NORTH RIVER,RECTOR,THAMES,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALBANY,BROADWAY,CARLISLE,CEDAR,GREENWICH,THAMES,TRINITY PLACE,WASHINGTON,RECTOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,BATTERY PLACE,BROADWAY,EDGAR,EXCHANGE ALLEY,GREENWICH,MORRIS,NORTH RIVER,RECTOR,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BATTERY PLACE,BROADWAY,EDGAR,EXCHANGE ALLEY,GREENWICH,MORRIS,RECTOR,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,BATTERY PLACE,BOWLING GREEN,BOWLING GREEN PARK,BROADWAY,GREENWICH,MORRIS,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BATTERY PLACE,BROADWAY,GREENWICH,MORRIS,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,BEAVER,BROAD,BROADWAY,CEDAR,EXCHANGE COURT,EXCHANGE PLACE,HANOVER,LIBERTY,MAIDEN LA,NASSAU,NEW,PEARL,PINE,WALL,WHITEHALL,WILLIAM,WILLIAM SOUTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BEAVER,BROAD,CEDAR,EXCHANGE PLACE,HANOVER,LIBERTY,NASSAU,NEW,PEARL,PINE,WALL,WILLIAM,BROADWAY,MAIDEN LANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,BEAVER,BROAD,COENTIE\'SOUTH ALLEY,COENTIES SLIP,HANOVER,HANOVER SQUARE,MAIDEN LA,OLD SLIP,PEARL,PINE,STONE,WALL,WATER,WILLIAM SOUTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROAD,COENTIES ALLEY,COENTIES SLIP,HANOVER SQ,HANOVER,MILL LANE,Old Slip,PEARL,PINE,SOUTH  WILLIAM,STONE,WALL,WATER,WILLIAM,BEAVER,MAIDEN LANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,BROAD,COENTIES SLIP,CUYLER\'SOUTH ALLEY,DEPEYSTER,EAST RIVER,FRONT,GOUVERNEUR LANE,JEANNETTE PARK,JONES LA,MAIDEN LA,OLD SLIP,PIER FORTEENTH,PIER 4,PIERS,PINE,SOUTH,WALL,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROAD,COENTIES SLIP,CUYLERS ALLEY,DE PEYSTER,DEPEYSTER,FRONT,GOUVERNEUR LANE,JONES LANE,OLD   SLIP,OLD SLIP,PINE,SOUTH,WALL,MAIDEN LANE,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ANN,BEEKMAN,BROADWAY,DUTCH,FULTON,GOLD,JOHN,LIBERTY,LIBERTY PLACE,MAIDEN LA,NASSAU,PARK ROW,PLATT,SPRUCE,THEATRE ALLEY,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANN,BEEKMAN,DUTCH,FULTON,GOLD,JOHN,LIBERTY PLACE,MAIDEN LANE,NASSAU,PLATT,THEATRE ALLEY,THEATRE ALLEY,WILLIAM,BROADWAY,LIBERTY,PARK ROW,SPRUCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
