ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66,Street67,Street68,Street69,Street70,Street71,Street72,Street1.y,Street2.y,Street3.y,Street4.y,Street5.y,Street6.y,Street7.y,Street8.y,Street9.y,Street10.y,Street11.y,Street12.y,Street13.y,Street14.y,Street15.y,Street16.y,Street17.y,Street18.y,Street19.y,Street20.y,Street21.y,Street22.y,Street23.y,Street24.y,Street25.y,Street26.y,Street27.y,Street28.y,Street29.y,Street30.y,Street31.y,Street32.y,Street33.y,Street34.y,Street35.y,Street36.y,Street37.y,Street38.y,Street39.y,Street40.y,Street41.y,Street42.y,Street43.y,Street44.y,Street45.y,Street46.y,Street47.y,Street48.y,Street49.y,Street50.y,Street51.y,Street52.y,Street53.y,Street54.y,Street55.y,Street56.y,Street57.y,Street58.y,Street59.y,Street60.y,Street61.y,Street62.y,Street63.y,Street64.y,Street65.y,Street66.y,Street67.y,Street68.y,Street69.y,Street70.y,Street71.y,Street72.y,Street73,Street74,Street75,Street76,Street77,Street78,Street79,Street80,Street81,Street82,Street83,Street84,Street85,Street86,Street87,Street88,Street89,Street90,Street91,Street92,Street93
1,COLUMBIA HEIGHTS [M],DOUGHTY [M],EAST RIVER [M],ELIZABETH PLACE [M],EVERITT [M],FULTON [M],FURMAN [M],HENRY [M],HICKS [M],MCKENNEY [M],MIDDAGH [M],POPLAR [M],POPLAR PLACE [M],VINE [M],WILLOW [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COLUMBIA HEIGHTS [G],DOUGHTY [G],ELIZABETH PLACE [G],EVERITT [G],FULTON [G],FURMAN [G],HICKS [G],MCKENNY [G],MIDDAGH [G],OLD   FULTON [G],POPLAR [G],VINE [G],WILLOW [G],HENRY [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,COLUMBIA HEIGHTS [M],CRANBERRY [M],EAST RIVER [M],EVERITT [M],FULTON [M],FURMAN [M],HENRY [M],HICKS [M],MIDDAGH [M],WILLOW [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COLUMBIA HEIGHTS [G],CRANBERRY [G],HENRY [G],HICKS [G],MIDDAGH [G],WILLOW [G],CADMAN PLAZA WEST [G],FULTON [G],OLD   FULTON [G],PROSPECT [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,COLUMBIA HEIGHTS [M],CRANBERRY [M],EAST RIVER [M],EVERITT [M],FULTON [M],FURMAN [M],HENRY [M],HICKS [M],ORANGE [M],PINEAPPLE [M],WILLOW [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COLUMBIA HEIGHTS [G],FURMAN [G],HENRY [G],HICKS [G],ORANGE [G],ORANGE [G],PINEAPPLE [G],PINEAPPLE WALK [G],WILLOW [G],CADMAN PLAZA WEST [G],CRANBERRY [G],FULTON [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,CLARK [M],COLLEGE PLACE [M],COLUMBIA HEIGHTS [M],EAST RIVER [M],EVERITT [M],FORT STERLING PARK [M],FURMAN [M],HENRY [M],HICKS [M],LOVE LANE [M],PIERREPONT [M],PINEAPPLE [M],WILLOW [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLARK [G],COLLEGE PLACE [G],COLUMBIA HEIGHTS [G],HICKS [G],LOVE LANE [G],PIERREPONT [G],WILLOW [G],HENRY [G],PINEAPPLE [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,CLARK [M],CLINTON [M],FULTON [M],HENRY [M],HICKS [M],LOVE LANE [M],MONROE PLACE [M],PIERREPONT [M],PINEAPPLE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLARK [G],CLINTON [G],HENRY [G],HICKS [G],LOVE LANE [G],MONROE PLACE [G],PIERREPONT [G],CADMAN PLAZA WEST [G],FULTON [G],PINEAPPLE [G],PINEAPPLE WALK [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,EAST RIVER [M],FURMAN [M],GRACE COURT [M],HICKS [M],JORALEMON [M],MONTAGUE [M],MONTAGUE TERRACE [M],PIERREPONT [M],PIERREPONT PLACE [M],REMSEN [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FURMAN [G],GRACE COURT [G],JORALEMON [G],MONTAGUE [G],MONTAGUE TERRACE [G],PIERREPONT PLACE [G],REMSEN [G],HICKS [G],PIERREPONT [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,CLINTON [M],GRACE COURT ALLEY [M],HENRY [M],HICKS [M],HUNTS ALLEY [M],HUNTS LANE [M],JORALEMON [M],MONTAGUE [M],PIERREPONT [M],REMSEN [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GRACE COURT  ALLEY [G],HENRY [G],HICKS [G],HUNTS LANE [G],JORALEMON [G],MONTAGUE [G],REMSEN [G],CLINTON [G],PIERREPONT [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ATLANTIC AVENUE [M],BEACH 37 [M],COLUMBIA PLACE [M],FURMAN [M],JORALEMON [M],STATE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATLANTIC AVENUE [G],FURMAN [G],STATE [G],COLUMBIA PLACE [G],JORALEMON [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,COLUMBIA PLACE [M],GARDEN PLACE [M],HICKS [M],JORALEMON [M],STATE [M],WILLOW PLACE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COLUMBIA PLACE [G],HICKS [G],STATE [G],WILLOW PLACE [G],GARDEN PLACE [G],JORALEMON [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ATLANTIC AVENUE [M],COLUMBIA PLACE [M],FURMAN [M],HENRY [M],HICKS [M],STATE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATLANTIC AVENUE [G],COLUMBIA PLACE [G],FURMAN [G],HICKS [G],HENRY [G],STATE [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
