ED,V1.x,V2.x,V3.x,V4.x,V5.x,V6.x,V7.x,V8.x,V9.x,V10.x,V11.x,V12.x,V13.x,V14.x,V15.x,V16.x,V17.x,V18.x,V19.x,V20.x,V21.x,V22.x,V23.x,V24.x,V25.x,V26.x,V27.x,V28.x,V29.x,V30.x,V31.x,V32.x,V33.x,V34.x,V35.x,V1.y,V2.y,V3.y,V4.y,V5.y,V6.y,V7.y,V8.y,V9.y,V10.y,V11.y,V12.y,V13.y,V14.y,V15.y,V16.y,V17.y,V18.y,V19.y,V20.y,V21.y,V22.y,V23.y,V24.y,V25.y,V26.y,V27.y,V28.y,V29.y,V30.y,V31.y,V32.y,V33.y,V34.y,V35.y,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66
1,BATTERY PARK [M],BATTERY PLACE [M],BEAVER [M],BRIDGE [M],BROAD [M],BROADWAY [M],EAST RIVER [M],ELLIS ISLAND [M],FRONT [M],MARKETFIELD [M],MOORE [M],NORTH RIVER [M],PEARL [M],PIER 3 [M],PIER 4 [M],PIERS [M],SOUTH [M],STATE [M],STONE [M],WATER [M],WHITEHALL [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRIDGE [G],BROADWAY [G],FRONT [G],MARKETFIELD [G],MOORE [G],NEW [G],NONE [G],PEARL [G],SOUTH [G],STATE [G],STONE [G],WATER [G],WHITEHALL [G],BATTERY PLACE [G],BEAVER [G],BROAD [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,BEDLOE\'SOUTH ISLAND [M],GOVERNORS ISLAND [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ALBANY [M],BROADWAY [M],CEDAR [M],GREENWICH [M],LIBERTY [M],NORTH RIVER [M],TEMPLE [M],TRINITY PLACE [M],WASHINGTON [M],WEST [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY [G],CEDAR [G],GREENWICH [G],LIBERTY [G],LIBERTY ST BRIDGE [G],TEMPLE [G],TRINITY PLACE [G],WASHINGTON [G],WEST [G],ALBANY [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ALBANY [M],BROADWAY [M],CARLISLE [M],CEDAR [M],GREENWICH [M],NORTH RIVER [M],RECTOR [M],THAMES [M],TRINITY PLACE [M],WASHINGTON [M],WEST [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALBANY [G],BROADWAY [G],CARLISLE [G],CEDAR [G],GREENWICH [G],THAMES [G],TRINITY PLACE [G],WASHINGTON [G],RECTOR [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,BATTERY PLACE [M],BROADWAY [M],EDGAR [M],EXCHANGE ALLEY [M],GREENWICH [M],MORRIS [M],NORTH RIVER [M],RECTOR [M],TRINITY PLACE [M],WASHINGTON [M],WEST [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BATTERY PLACE [G],BROADWAY [G],EDGAR [G],EXCHANGE ALLEY [G],GREENWICH [G],MORRIS [G],RECTOR [G],TRINITY PLACE [G],WASHINGTON [G],WEST [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,BATTERY PLACE [M],BOWLING GREEN [M],BOWLING GREEN PARK [M],BROADWAY [M],GREENWICH [M],MORRIS [M],WASHINGTON [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BATTERY PLACE [G],BROADWAY [G],GREENWICH [G],MORRIS [G],WASHINGTON [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,BEAVER [M],BROAD [M],BROADWAY [M],CEDAR [M],EXCHANGE COURT [M],EXCHANGE PLACE [M],HANOVER [M],LIBERTY [M],MAIDEN LA [M],NASSAU [M],NEW [M],PEARL [M],PINE [M],WALL [M],WHITEHALL [M],WILLIAM [M],WILLIAM SOUTH [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BEAVER [G],BROAD [G],CEDAR [G],EXCHANGE PLACE [G],HANOVER [G],LIBERTY [G],NASSAU [G],NEW [G],PEARL [G],PINE [G],WALL [G],WILLIAM [G],BROADWAY [G],MAIDEN LANE [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,BEAVER [M],BROAD [M],COENTIE\'SOUTH ALLEY [M],COENTIES SLIP [M],HANOVER [M],HANOVER SQUARE [M],MAIDEN LA [M],OLD SLIP [M],PEARL [M],PINE [M],STONE [M],WALL [M],WATER [M],WILLIAM SOUTH [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROAD [G],COENTIES ALLEY [G],COENTIES SLIP [G],HANOVER SQ [G],HANOVER [G],MILL LANE [G],Old Slip [G],PEARL [G],PINE [G],SOUTH  WILLIAM [G],STONE [G],WALL [G],WATER [G],WILLIAM [G],BEAVER [G],MAIDEN LANE [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,BROAD [M],COENTIES SLIP [M],CUYLER\'SOUTH ALLEY [M],DEPEYSTER [M],EAST RIVER [M],FRONT [M],GOUVERNEUR LANE [M],JEANNETTE PARK [M],JONES LA [M],MAIDEN LA [M],OLD SLIP [M],PIER FORTEENTH [M],PIER 4 [M],PIERS [M],PINE [M],SOUTH [M],WALL [M],WATER [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROAD [G],COENTIES SLIP [G],CUYLERS ALLEY [G],DE PEYSTER [G],DEPEYSTER [G],FRONT [G],GOUVERNEUR LANE [G],JONES LANE [G],OLD   SLIP [G],OLD SLIP [G],PINE [G],SOUTH [G],WALL [G],MAIDEN LANE [G],WATER [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ANN [M],BEEKMAN [M],BROADWAY [M],DUTCH [M],FULTON [M],GOLD [M],JOHN [M],LIBERTY [M],LIBERTY PLACE [M],MAIDEN LA [M],NASSAU [M],PARK ROW [M],PLATT [M],SPRUCE [M],THEATRE ALLEY [M],WILLIAM [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANN [G],BEEKMAN [G],DUTCH [G],FULTON [G],GOLD [G],JOHN [G],LIBERTY PLACE [G],MAIDEN LANE [G],NASSAU [G],PLATT [G],THEATRE ALLEY [G],THEATRE ALLEY [G],WILLIAM [G],BROADWAY [G],LIBERTY [G],PARK ROW [G],SPRUCE [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,BEEKMAN [M],BURLING SLIP [M],CLIFF [M],EAST RIVER [M],FERRY [M],FLETCHER [M],FRONT [M],FULTON [M],FULTON FISH MARKET [M],FULTON MARKET [M],GOLD [M],JOHN [M],MAIDEN LA [M],PEARL [M],PECK SLIP [M],PIER FORTEENTH [M],PIERS [M],PIERS [M],PLATT [M],SOUTH [M],WATER [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90 [G],BEEKMAN [G],CLIFF [G],FLETCHER [G],FRONT [G],FULTON [G],JOHN [G],MAIDEN LANE [G],PEARL [G],PECK SLIP [G],PLATT [G],RYDERS ALLEY [G],SOUTH [G],WATER [G],FERRY [G],GOLD [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,BARCLAY [M],BROADWAY [M],BROADWAY WEST [M],CHAMBERS [M],CHURCH [M],CORTLANDT [M],DEY [M],FULTON [M],GREENWICH [M],LIBERTY [M],MURRAY [M],PARK PLACE [M],READE [M],VESEY [M],WARREN [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BARCLAY [G],BROADWAY [G],CHAMBERS [G],CHURCH [G],CORTLANDT [G],CORTLANDT WAY [G],DEY [G],FULTON [G],MURRAY [G],PARK PLACE [G],READE [G],VESEY [G],WARREN [G],GREENWICH [G],LIBERTY [G],WEST  BROADWAY [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,BARCLAY [M],BISHOP LANE [M],BROADWAY WEST [M],CHAMBERS [M],CORTLANDT [M],DEY [M],FULTON [M],GREENWICH [M],HUDSON [M],LIBERTY [M],MURRAY [M],NORTH RIVER [M],PARK PLACE [M],READE [M],VESEY [M],WARREN [M],WASHINGTON [M],WASHINGTON MARKET [M],WEST [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BARCLAY [G],CHAMBERS [G],CORTLANDT [G],DEY [G],DUANE [G],FULTON [G],GREENWICH [G],HUDSON [G],MURRAY [G],PARK PLACE [G],READE [G],VESEY [G],WEST  BROADWAY [G],WARREN [G],WASHINGTON [G],WEST [G],LIBERTY [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
